,name,year,size,HardMark,SSD_HDD,price
92,M4-CT256M4SSD2,20May,238.5,2374.0,1,179.8
93,M4-CT512M4SSD2,20May,476.9,2417.0,1,396.7
94,Maxtor 4R080L0,20Feb,76.3,281.0,0,21.5
95,Maxtor 4R120L0,20Mar,113.0,286.0,0,16.9
96,Maxtor 4R160L0,20Mar,152.7,294.0,0,39.0
97,Maxtor 6B200M0,20Jan,48.8,371.0,0,39.9
98,Maxtor 6B300S0,20Mar,279.5,371.0,0,106.0
99,Maxtor 6E040L0,20Dec,6.8,317.0,0,39.5
100,Maxtor 6H500F0,20Mar,465.8,411.0,0,95.4
101,Maxtor 6L080P0,20Jan,76.3,324.0,0,162.5
102,Maxtor 6L250R0,20Dec,233.8,348.0,0,23.4
103,Maxtor 6L300S0,20Feb,139.7,389.0,0,52.0
104,Maxtor 6Y120L0,20Nov,114.5,318.0,0,43.9
105,Maxtor 7L250S0,20Feb,224.6,362.0,0,65.0
106,Maxtor 7Y250M0,20Dec,233.8,348.0,0,129.0
107,Maxtor Z1 SSD 240GB,20Sep,223.6,2490.0,1,53.99
108,Micron 1100,20Feb,238.5,3866.0,1,143.9
109,Micron 1100 512GB,20Dec,476.9,4018.0,1,169.4
110,Micron 2200 MTFDHBA256TCK,20Jul,238.5,14144.0,1,64.9
111,Micron M500 240GB MTFDDAK240MAV,20Sep,223.6,2671.0,1,483.3
112,Micron M600 M.2 2280 512GB,20Jan,476.9,3742.0,1,356.1
113,Micron M600 MTFDDAK1T0MBF,20Aug,953.9,3334.0,1,89.9
114,Micron M600 MTFDDAK512MBF,20May,476.9,3659.0,1,64.9
115,Micron M600 MTFDDAV128MBF,20Apr,119.2,3301.0,1,197.7
116,Micron M600 MTFDDAY512MBF,20Feb,476.9,4233.0,1,287.7
117,MKNSSDHL1TB-D8,20Sep,931.5,13092.0,1,124.99
118,MKNSSDSR1TB,20Jan,931.5,3242.0,1,104.9
119,MTFDBAK128MAG-1G1,20Feb,119.2,1733.0,1,103.0
120,MTFDBAK256MAG-1G1,20Dec,238.5,2047.0,1,99.9
121,MTFDDAK128MAM-1J1,20Feb,119.2,2095.0,1,129.9
122,MTFDDAK1T0MBF,20Jul,953.9,3837.0,1,794.8
123,MTFDDAK256MAM-1K1,20Oct,238.5,2183.0,1,99.9
124,MTFDDAK256MAM-1K12,20Oct,238.5,2148.0,1,135.9
125,MTFDDAK512MAM-1K1,20Jan,476.9,2393.0,1,479.0
126,MTFDDAK512MBF,20Aug,476.9,3619.0,1,90.0
127,MTFDDAT064MAM-1J2,20Nov,59.6,1934.0,1,44.0
128,MTFDDAT128MAM-1J2,20Dec,119.2,2021.0,1,66.0
129,MTFDDAV256TBN,20Nov,238.5,4061.0,1,121.2
