,name,size,latency,readRate,writeRate,Price,RAMmark
188,Corsair CMY32GX3M4A2133C11 8GB,8,25.0,14.8,10.6,189.9,831.0487766786
189,Corsair CMY32GX3M4A2400C10 8GB,8,23.0,14.6,11.7,479.9,903.1090400347
190,Corsair CMY32GX3M4A2400C11 8GB,8,35.0,16.3,10.7,249.9,595.4715850205284
191,Corsair CMY32GX3M4A2666C12 8GB,8,25.0,15.3,10.6,374.9,831.1345649696
192,Corsair CMY32GX3M4A2800C12 8GB,8,23.0,16.8,10.7,499.9,903.2044541401
193,Corsair CMY32GX3M4B2133C11 8GB,8,26.0,13.6,10.4,236.9,799.0357174863539
194,Corsair CMY32GX3M4C1600C9 8GB,8,27.0,12.4,7.5,563.9,768.6130193644851
195,Corsair CMY32GX3M4C1866C10 8GB,8,24.0,13.6,7.5,319.9,864.3651690047833
196,Corsair CMY64GX3M8A1866C9 8GB,8,32.0,11.7,9.1,369.9,649.5113805797125
197,Corsair CMY64GX3M8A2133C11 8GB,8,28.0,12.5,9.2,490.2,741.8107386767856
198,Corsair CMY64GX3M8A2400C11 8GB,8,29.0,12.2,9.2,464.9,716.3430198003999
199,Corsair CMZ4GX3M1A1600C9 4GB,4,37.0,13.2,8.3,24.9,562.3894209043594
200,Corsair CMZ4GX3M2A1600C9 2GB,2,37.0,14.7,8.3,193.9,562.6467857773595
201,Corsair CMZ4GX3M2A2000C10 2GB,2,24.0,14.6,9.0,103.8,864.9598271492833
202,Corsair CMZ8GX3M1A1600C9 8GB,8,38.0,11.8,6.6,99.9,546.9912065491789
203,Corsair CMZ8GX3M1A1600C10 8GB,8,39.4,13.2,8.3,42.6,528.4127574296715
204,Corsair CMZ8GX3M1A1866C10 8GB,8,26.0,13.7,8.3,58.9,798.4605609570539
205,Corsair CMZ8GX3M2A1600C8 4GB,4,33.625,14.7,9.9,63.9,619.0837831310969
206,Corsair CMZ8GX3M2A1600C9 4GB,4,37.8375,14.3,9.0,48.9,550.4295415276628
207,Corsair CMZ8GX3M2A1866C9 4GB,4,33.83333333,13.8,8.7,89.7,614.8115315970545
208,Corsair CMZ8GX3M2A1866C10 4GB,4,29.0,11.9,7.9,41.9,715.9248761383
209,Corsair CMZ8GX3M2A2133C11 4GB,4,23.0,15.3,10.2,73.9,902.8060620796
210,Corsair CMZ8GX3M2B1600C9 4GB,4,27.0,13.0,6.8,149.9,768.518527251185
211,Corsair CMZ8GX3M2X1600C7 4GB,4,23.0,14.8,9.1,69.9,902.4100139761
212,Corsair CMZ8GX3M2X1600C8 4GB,4,25.0,13.9,8.6,94.9,830.3302490048
213,Corsair CMZ8GX3M2X2133C9 4GB,4,27.0,16.3,11.7,97.9,770.466796409285
214,Corsair CMZ8GX3M4X1600C9 2GB,2,24.0,14.4,9.2,129.9,864.9819227078833
215,Corsair CMZ12GX3M3A1600C9 4GB,4,25.0,13.4,8.5,69.9,830.2162552762999
216,Corsair CMZ12GX3M3A2000C10 4GB,4,26.0,12.9,8.7,129.9,798.4361214414538
217,Corsair CMZ16GX3M2A1600C9 8GB,8,39.0,14.7,9.2,106.9,534.2963496528358
218,Corsair CMZ16GX3M2A1600C10 8GB,8,39.76190476,14.1,9.2,76.9,524.0534415987287
219,Corsair CMZ16GX3M2A1866C9 8GB,8,35.33333333,13.8,9.1,75.9,589.0285556308069
220,Corsair CMZ16GX3M2A1866C10 8GB,8,37.0,14.0,9.0,136.4,562.7241202324595
221,Corsair CMZ16GX3M2A2133C10 8GB,8,34.0,14.7,10.7,109.9,612.5399126340764
222,Corsair CMZ16GX3M2A2400C10 8GB,8,23.0,15.1,10.3,229.9,902.7999522007
223,Corsair CMZ16GX3M4A1600C9 4GB,4,40.44827586,13.5,9.3,109.9,515.1710677421673
224,Corsair CMZ16GX3M4A1866C9 4GB,4,23.0,14.7,10.4,159.9,902.7595270054
225,Corsair CMZ16GX3M4A2133C9 4GB,4,22.0,15.0,11.2,189.9,943.8231882868181
226,Corsair CMZ16GX3M4A2133C11 4GB,4,23.0,15.6,11.2,104.9,903.1395894291999
227,Corsair CMZ16GX3M4A2400C10 4GB,4,21.0,16.2,11.7,134.9,988.8410850182809
228,Corsair CMZ16GX3M4X1600C9 4GB,4,35.0,14.0,9.6,121.9,594.7666990694285
229,Corsair CMZ16GX3M4X1866C9 4GB,4,38.4,13.1,9.3,143.3,542.3184587098771
230,Corsair CMZ16GX3M4X2133C11 4GB,4,24.0,14.4,10.5,109.9,865.3485933953833
231,Corsair CMZ24GX3M6A1600C9 4GB,4,24.0,14.8,10.3,199.9,865.3608131531834
232,Corsair CMZ32GX3M4A1600C9 8GB,8,27.0,13.7,9.3,299.9,769.3437667960851
233,Corsair CMZ32GX3M4A1866C9 8GB,8,25.0,14.0,10.4,159.9,830.855104538
234,Corsair CMZ32GX3M4A2133C10 8GB,8,26.0,13.7,10.8,289.9,799.1656968945539
235,Corsair CMZ32GX3M4X1600C10 8GB,8,41.5,12.9,8.0,249.9,501.7707770584024
236,Corsair CMZ32GX3M4X1866C10 8GB,8,26.0,13.6,10.2,228.9,798.9793066113539
237,Corsair CMZ32GX3M8X1600C9 4GB,4,29.0,12.3,10.2,399.9,716.6422318335999
238,Corsair CMZ64GX3M8A1600C9 8GB,8,28.0,12.3,9.9,299.9,741.9738614228855
239,Corsair CMZ64GX3M8A1866C9 8GB,8,26.0,13.5,11.0,329.9,799.1877924531539
240,Corsair VS2GB1333D3 2GB,2,25.0,13.4,8.4,32.4,830.1880498387999
241,Crucial Technology 16JTF1G64AZ-1G6E1 8GB,8,23.0,15.9,11.1,27.9,903.1628569663
242,Crucial Technology BLE2G3D1608DE1TX0. 2GB,2,19.0,17.6,10.2,7.9,1092.1067904813578
243,Crucial Technology BLE2G3D1869DE1TX0. 2GB,2,24.0,14.8,9.6,30.0,865.1633750906833
244,Crucial Technology BLE4G3D1608DE1TX0. 4GB,4,32.5,16.6,9.8,72.3,640.627432513123
245,Crucial Technology BLE4G3D1869DE1TX0. 4GB,4,22.0,16.0,10.2,33.9,943.7127104938182
