FX-9590,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,4.7GHz,5GHz,,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,n/a,,220W,,57°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-9590 Eight-Core,221,22,6625,29.98,1802,8.15,220,30.12,13-Aug,AM3+,Desktop,13-Aug,8/1/2013
E1-2500,AMD E-Series Processors,AMD E1-Series APU for Laptops,Laptop,,2,2,,,1.4GHz,,,,1MB,,No,28nm,FT3,,,,15W,,,,,1,,,,AMD Radeon™ HD 8240,,Yes,Yes,,,AMD E1-2500 APU,NA,0,592,NA,456,NA,15,39.45,13-Sep,FT3,Laptop,13-Sep,9/1/2013
A10-7700K,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,6,10 (4 CPU + 6 GPU),3.4GHz,3.8GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,,45W/65WW,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,384,Yes,Yes,,,AMD A10-7700K APU,119.99,119.9,3191,26.6,1451,12.09,95,33.59,14-Jan,FM2+,Desktop,14-Jan,1/1/2014
A10-7850K,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.7GHz,4GHz,,256KB,4MB,,Yes,28nm,FM2+,,,,95W,,72.40°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,,AMD A10-7850K APU,149.95,149.9,3271,21.82,1445,9.64,95,34.43,14-Jan,FM2+,Desktop,14-Jan,1/1/2014
E2-3000,AMD E-Series Processors,AMD E2-Series APU for Laptops,Laptop,,2,2,,,1.65GHz,,,,1MB,,No,28nm,FT3,,,,15W,,,,,1,,,,AMD Radeon™ HD 8280,,Yes,Yes,,,AMD E2-3000 APU,NA,0,682,NA,514,NA,15,45.43,14-Feb,FT3,Laptop,14-Feb,2/1/2014
E2-3800,AMD E-Series Processors,AMD E2-Series APU for Laptops,Laptop,,4,4,,,1.3GHz,,,128KB,2MB,,No,28nm,FT3,,,,15W,,90°C,1600MHz,,1,,450 MHz,,AMD Radeon™ HD 8280,128,Yes,Yes,,,AMD E2-3800 APU,NA,0,971,NA,416,NA,15,64.73,14-Feb,FT3,Laptop,14-Feb,2/1/2014
A10-7800,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,4,8,12 (4 CPU + 8 GPU),3.5GHz,3.9GHz,,256KB,4MB,,No,28nm,FM2+,,,,,45W/65WW,71.30°C,2133MHz,,2,,720 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,,AMD A10-7800 APU,149.86,149.8,3063,20.44,1417,9.46,65,47.13,14-Jun,FM2+,Desktop,14-Jun,6/1/2014
E1-6010,AMD E-Series Processors,AMD E1-Series APU for Laptops,Laptop,,2,2,,,1.35GHz,,,,1MB,,No,28nm,FT3b,,,,10W,,,,,1,,,,AMD Radeon™ R2 Graphics,,Yes,Yes,,,AMD E1-6010 APU,NA,0,538,NA,422,NA,10,53.8,14-Jul,FT3b,Laptop,14-Jul,7/1/2014
FX-8370E,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,3.3GHz,4.3GHz,,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,n/a,,95W,,70.50°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-8370E Eight-Core,295.86,295.8,5061,17.1,1432,4.84,95,53.27,14-Sep,AM3+,Desktop,14-Sep,9/1/2014
E1-2200,AMD E-Series Processors,AMD E1-Series APU for Laptops,Laptop,,2,2,,,1GHz,,,,1MB,,No,28nm,FT3,,,,9W,,,,,1,,,,AMD Radeon™ HD 8210,,Yes,Yes,,,AMD E1-2200 APU,NA,0,445,NA,346,NA,9,49.44,14-Oct,FT3,Laptop,14-Oct,10/1/2014
E2-6110,AMD E-Series Processors,AMD E2-Series APU for Laptops,Laptop,,4,4,,,1.5GHz,,,,2MB,,No,28nm,FT3b,,,,15W,,,1600MHz,,1,,,,AMD Radeon™ R2 Graphics,,Yes,Yes,,,AMD E2-6110 APU,NA,0,1125,NA,453,NA,15,74.97,14-Oct,"AM1,FT3b",Laptop,14-Oct,10/1/2014
FX-7500,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,,4,4,6,10 (4 CPU + 6 GPU),2.1GHz,3.3GHz,,,4MB,,No,28nm,FP3,,,,20W,,,1600MHz,,2,,553 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,,AMD FX-7500 APU,NA,0,1955,NA,1007,NA,19,102.87,14-Oct,FP3,Laptop,14-Oct,10/1/2014
FX-7600P,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,,4,4,8,12 (4 CPU + 8 GPU),2.7GHz,3.6GHz,,,4MB,,No,28nm,FP3,,,,35W,,,2133MHz,,2,,686 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,,AMD FX-7600P APU,NA,0,2817,NA,1335,NA,35,80.48,14-Oct,FP3,Laptop,14-Oct,10/1/2014
FX-8310,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,3.4GHz,4.3GHz,,,8MB,,Yes,32nm,AM3+,,n/a,,95W,,70.50°C,,Not Listed,,,,,Discrete Graphics Card Required,,,,,,AMD FX-8310 Eight-Core,NA,0,4996,NA,1438,NA,95,52.59,14-Oct,AM3+,Desktop,14-Oct,10/1/2014
FX-8320E,AMD FX-Series Processors,AMD FX 8-Core Black Edition Processors,Desktop,,8,8,,,3.2GHz,4GHz,,384KB,8MB,8MB,Yes,32nm SOI,AM3+,,n/a,,95W,,70.50°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-8320E Eight-Core,162.99,162.9,5003,30.69,1361,8.35,95,52.66,14-Oct,AM3+,Desktop,14-Oct,10/1/2014
FX-7600P,AMD FX-Series Processors,AMD FX-Series Processors for Laptops,Laptop,,4,4,8,12 (4 CPU + 8 GPU),2.7GHz,3.6GHz,,,4MB,,No,28nm,FP3,,,,35W,,,2133MHz,,2,,686 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,,AMD FX-7600P,NA,0,2490,NA,1202,NA,35,71.13,15-Jan,FP3,Laptop,15-Jan,1/1/2015
A10-8700P,AMD A-Series Processors,AMD A10-Series APU for AIOs,All-in-One,,4,4,6,10 (4 CPU + 6 GPU),1.8GHz,3.2GHz,,,2MB,,No,28nm,FP4,,,,,,90°C,2133MHz,,2,,800 MHz,,AMD Radeon™ R6 Graphics,,Yes,Yes,,,AMD A10-8700P,NA,0,2250,NA,1130,NA,35,64.29,15-Jul,FP4,Laptop,15-Jul,7/1/2015
FX-8800P,AMD FX-Series Processors,AMD FX-Series Processors for AIOs,All-in-One,,4,4,8,12 (4 CPU + 8 GPU),2.1GHz,3.4GHz,,,2MB,,No,28nm,FP4,,,,,,90°C,2133MHz,,2,,800 MHz,,AMD Radeon™ R7 Graphics,,Yes,Yes,,,AMD FX-8800P,NA,0,3050,NA,1428,NA,35,87.14,15-Aug,FP4,Laptop,15-Aug,8/1/2015
FX-4320,AMD FX-Series Processors,AMD FX 4-Core Black Edition Processors,Desktop,,4,4,,,4GHz,4.1GHz,,192KB,4MB,4MB,No,32nm SOI,AM3+,,Not Listed,,95W,,70.50°C,1866MHz,DDR3,,,,,Discrete Graphics Card Required,,,,,,AMD FX-4320,NA,0,3276,NA,1601,NA,95,34.49,16-Jan,AM3+,Desktop,16-Jan,1/1/2016
A10-7890K,AMD A-Series Processors,AMD A10-Series APU for Desktops,Desktop,,4,,8,12 (4 CPU + 8 GPU),4.1GHz,4.3GHz,,256KB,4MB,,Yes,28nm,FM2+,,,Wraith cooler,95W,,72.40°C,2133MHz,,2,,866 MHz,,AMD Radeon™ R7 Graphics,512,Yes,Yes,,,AMD A10-7890K,$199.99*,$199.99 ,3624,18.12,1640,8.2,95,38.15,16-Apr,FM2+,Desktop,16-Apr,4/1/2016
AMD Ryzen 7 1800X,AMD Ryzen Processors,AMD Ryzen 7 Desktop Processors,Desktop,3/2/2017,8,16,,,3.6GHz,4GHz,,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 7 1800X,285.43,285.4,16229,56.86,2163,7.58,95,170.83,17-Feb,AM4,Desktop,17-Feb,2/1/2017
AMD Ryzen 5 1600,AMD Ryzen Processors,AMD Ryzen 5 Desktop Processors,Desktop,4/11/2017,6,12,,,3.2GHz,3.6GHz,,576KB,3MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Spire (No LED),65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 5 1600,104.99,104.9,12525,119.3,2111,20.11,65,192.69,17-Mar,AM4,Desktop,17-Mar,3/1/2017
AMD Ryzen 7 1700X,AMD Ryzen Processors,AMD Ryzen 7 Desktop Processors,Desktop,3/2/2017,8,16,,,3.4GHz,3.8GHz,,768KB,4MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 7 1700X,249.99,249.9,15649,62.6,2076,8.31,95,164.72,17-Mar,AM4,Desktop,17-Mar,3/1/2017
AMD Ryzen 5 1400,AMD Ryzen Processors,AMD Ryzen 5 Desktop Processors,Desktop,4/11/2017,4,8,,,3.2GHz,3.4GHz,,384KB,2MB,8MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Stealth,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 5 1400,186.86,186.8,7971,42.66,1940,10.38,65,122.63,17-Apr,AM4,Desktop,17-Apr,4/1/2017
AMD Ryzen 5 1500X,AMD Ryzen Processors,AMD Ryzen 5 Desktop Processors,Desktop,4/11/2017,4,8,,,3.5GHz,3.7GHz,,384KB,2MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Spire (No LED),65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 5 1500X,228.86,228.8,8982,39.25,2073,9.06,65,138.19,17-Apr,AM4,Desktop,17-Apr,4/1/2017
AMD Ryzen 5 1600X,AMD Ryzen Processors,AMD Ryzen 5 Desktop Processors,Desktop,4/11/2017,6,12,,,3.6GHz,4GHz,,576KB,3MB,16MB,Yes,14nm,AM4,,PCIe 3.0 x16,Not included,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 5 1600X,258.86,258.8,13132,50.73,2196,8.48,95,138.23,17-Apr,AM4,Desktop,17-Apr,4/1/2017
AMD Ryzen 3 1200,AMD Ryzen Processors,AMD Ryzen 3 Desktop Processors,Desktop,7/27/2017,4,4,,,3.1GHz,3.4GHz,,384KB,2MB,8MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Stealth,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 3 1200,87.2,87,6319,72.46,1922,22.04,65,97.21,17-Jun,AM4,Desktop,17-Jun,6/1/2017
AMD Ryzen 7 PRO 1700X,AMD Ryzen PRO Processors,AMD Ryzen 7 PRO Desktop Processors,Desktop,6/29/2017,8,16,,,3.4GHz,3.8GHz,,,4MB,16MB,No,14nm,AM4,,PCIe 3.0 x16,,95W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 7 PRO 1700X,NA,0,15870,NA,2217,NA,95,167.05,17-Jun,AM4,Desktop,17-Jun,6/1/2017
AMD Ryzen 5 PRO 1500,AMD Ryzen PRO Processors,AMD Ryzen 5 PRO Desktop Processors,Desktop,6/29/2017,4,8,,,3.5GHz,3.7GHz,,384KB,2MB,16MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 5 PRO 1500,NA,0,9809,NA,2203,NA,65,150.91,17-Jul,AM4,Desktop,17-Jul,7/1/2017
AMD Ryzen 3 1300X,AMD Ryzen Processors,AMD Ryzen 3 Desktop Processors,Desktop,7/27/2017,4,4,,,3.5GHz,3.7GHz,,384KB,2MB,8MB,Yes,14nm,AM4,,PCIe 3.0 x16,Wraith Stealth,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 3 1300X,192.9,192,7058,36.59,2135,11.07,65,108.59,17-Aug,AM4,Desktop,17-Aug,8/1/2017
AMD Ryzen 3 PRO 1200,AMD Ryzen PRO Processors,AMD Ryzen 3 PRO Desktop Processors,Desktop,6/29/2017,4,4,,,3.1GHz,3.4GHz,,384KB,2MB,8MB,No,14nm,AM4,,PCIe 3.0 x16,,65W,,95°C,2667MHz,DDR4,2,,,,Discrete Graphics Card Required,,,,,,AMD Ryzen 3 PRO 1200,NA,0,6848,NA,1872,NA,65,105.35,17-Aug,AM4,Desktop,17-Aug,8/1/2017
AMD Athlon X4 950,AMD Athlon Processors,AMD Athlon X4,Desktop,7/27/2017,4,4,,,3.5GHz,3.8GHz,,,2MB,,Yes,28nm,AM4,,PCIe 3.0,,,45/65W,,2400MHz,DDR4,,,,,Discrete Graphics Card Required,,,,,,AMD Athlon X4 950,118.86,118.8,3656,30.76,1596,13.42,65,56.24,17-Sep,AM4,Desktop,17-Sep,9/1/2017
AMD EPYC 7551,AMD EPYC,AMD EPYC 7001 Series,Server,,32,64,,,2GHz,3GHz,2.55GHz,,,64MB,,,SP3,1P/2P,PCIe 3.0 x128,,180W,,,2666MHz,DDR4,8,170.60 GB/s,,,,,,,,,AMD EPYC 7551,"1,395.00",139,19606,14.05,1660,1.19,180,108.92,17-Sep,SP3,Server,17-Sep,9/1/2017
