Intel® Atom™ Processor C Series,Server,C3758,Launched,Q3'17,14 nm,$193.00 ,8,8,2.20 GHz,2.20 GHz,16 MB,,25 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,,,,,,,,,,,,3,"x2,x4,x8",16,"82°C,100°C",No,Yes,,64-bit,,,,No,Yes,Intel Atom C3758 @ 2.20GHz,$193.00*,$193.00 ,4675,24.22,857,4.44,25,187,20-Apr,FCBGA1310,Server,20-Apr,4/1/2020
Intel® Atom™ Processor C Series,Server,C3858,Launched,Q3'17,14 nm,$332.00 ,12,12,2.00 GHz,2.00 GHz,12 MB,,25 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,,,,,,,,,,,,3,"x2,x4,x8",16,"83°C,100°C",No,Yes,,64-bit,,,,No,Yes,Intel Atom C3858 @ 2.00GHz,$332.00*,$332.00 ,4853,14.62,771,2.32,25,194.11,18-Jul,FCBGA1310,Server,18-Jul,7/1/2018
Intel® Atom™ Processor C Series,Server,C3958,Launched,Q3'17,14 nm,$449.00 ,16,16,2.00 GHz,2.00 GHz,16 MB,,31 W,Yes,Yes,256 GB,DDR4: 2400,2,,Yes,,,,,,,,,,,,3,"x2,x4,x8",16,"83°C,100°C",No,Yes,,64-bit,,,,No,Yes,Intel Atom C3958 @ 2.00GHz,$449.00*,$449.00 ,6586,14.67,791,1.76,31,212.46,19-Aug,FCBGA1310,Server,19-Aug,8/1/2019
Intel® Atom™ Processor D Series,Desktop,D2500,End of Interactive Support,Q3'11,32 nm,$42.00 ,2,2,1.86 GHz,,1 MB L2,2.5 GT/s DMI,10 W,No,Yes,4 GB,DDR3 800/1066 ,1,6.4 GB/s,No,,400 MHz,,,,,,,,,,,,4,100 C,No,No,Yes,64-bit,"SSE2, SSE3, SSSE3",,,,Yes,Intel Atom D2500 @ 1.86GHz,NA,0,441,NA,319,NA,10,44.12,12-Apr,BGA559,Desktop,12-Apr,4/1/2012
Intel® Atom™ Processor D Series,Desktop,D2550,End of Interactive Support,Q1'12,32 nm,$47.00 ,2,4,1.86 GHz,,1 MB L2,,10 W,Yes,Yes,4 GB,DDR3 800/1066 ,1,6.4 GB/s,No,,640 MHz,,,,,,,,,,,,4,100 C,Yes,No,Yes,64-bit,"SSE2, SSE3, SSSE3",,,,,Intel Atom D2550 @ 1.86GHz,NA,0,737,NA,326,NA,10,73.7,12-Jul,BGA559,Desktop,12-Jul,7/1/2012
Intel® Atom™ Processor D Series,Desktop,D2700,End of Interactive Support,Q3'11,32 nm,N/A,2,4,2.13 GHz,,1 MB L2,2.5 GT/s DMI,10 W,No,,4 GB,DDR3 800/1066 ,1,6.4 GB/s,No,,640 MHz,,,,,,,,,,,,4,100 C,Yes,No,Yes,64-bit,"SSE2, SSE3, SSSE3",,,,Yes,Intel Atom D2700 @ 2.13GHz,NA,0,661,NA,383,NA,10,66.08,11-Dec,BGA559,Desktop,11-Dec,12/1/2011
Legacy Intel Atom® Processors,Desktop,D410,End of Interactive Support,Q1'10,45 nm,$43.00 ,1,2,1.66 GHz,,512 KB L2,2.5 GT/s DMI,10 W,Yes,Yes,4 GB,DDR2 667/800,1,6.4 GB/s,No,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64-bit,"SSE2, SSE3, SSSE3",No,No,,Yes,Intel Atom D410 @ 1.66GHz,$635.99*,$635.99 ,278,0.44,240,0.38,10,27.79,10-Feb,BGA559,Desktop,10-Feb,2/1/2010
Legacy Intel Atom® Processors,Desktop,D425,End of Interactive Support,Q2'10,45 nm,$42.00 ,1,2,1.80 GHz,,512 KB L2,2.5 GT/s DMI,10 W,Yes,Yes,4 GB,DDR3 800 (SODIMM only); DDR2 667/800,1,6.4 GB/s,No,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64-bit,"SSE2, SSE3, SSSE3",No,No,,Yes,Intel Atom D425 @ 1.80GHz,$992.98*,$992.98 ,380,0.38,303,0.3,10,37.97,11-Jan,BGA559,Desktop,11-Jan,1/1/2011
Legacy Intel Atom® Processors,Desktop,D510,End of Interactive Support,Q1'10,45 nm,$63.00 ,2,4,1.66 GHz,,1 MB L2,2.5 GT/s DMI,13 W,Yes,Yes,4 GB,DDR2 667/800,1,6.4 GB/s,No,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64-bit,"SSE2, SSE3, SSSE3",No,No,,Yes,Intel Atom D510 @ 1.66GHz,$97.16*,$97.16 ,658,6.78,271,2.79,13,50.64,10-Jan,BGA559,Desktop,10-Jan,1/1/2010
Legacy Intel Atom® Processors,Desktop,D525,End of Interactive Support,Q2'10,45 nm,$63.00 ,2,4,1.80 GHz,,1 MB L2,2.5 GT/s DMI,13 W,Yes,Yes,4 GB,DDR3 800 (SODIMM only); DDR2 667/800,1,6.4 GB/s,No,,,,,,,,,,,,,,,100°C,Yes,No,Yes,64-bit,"SSE2, SSE3, SSSE3",No,No,,Yes,Intel Atom D525 @ 1.80GHz,NA,0,571,NA,302,NA,13,43.91,10-Jun,BGA559,Desktop,10-Jun,6/1/2010
