Legacy Intel® Core™ Processors,Mobile,i7-2720QM,Launched,Q1'11,32 nm,N/A,4,8,2.20 GHz,3.30 GHz,6 MB SmartCache,5 GT/s DMI,45 W,No,Yes,32 GB,DDR3 1066/1333/1600,2,25.6 GB/s,No,,650 MHz,1.30 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",16,100 C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3110M @ 2.40GHz,$79.95*,$79.95 ,1605,20.08,1270,15.88,35,45.86,12-Jul,BGA1023,Laptop,12-Jul,7/1/2012
Legacy Intel® Core™ Processors,Mobile,i7-2860QM,Launched,Q4'11,32 nm,$568.00 ,4,8,2.50 GHz,3.60 GHz,8 MB SmartCache,5 GT/s DMI,45 W,No,Yes,32 GB,DDR3 1066/1333/1600,2,25.6 GB/s,No,,650 MHz,1.30 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",16,100 C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3120M @ 2.50GHz,$38.90*,$38.90 ,1610,41.38,1228,31.56,35,45.99,12-Jan,PGA988,Laptop,12-Jan,1/1/2012
Legacy Intel® Core™ Processors,Mobile,i3-3110M,Launched,Q2'12,22 nm,$225.00 ,2,4,2.40 GHz,,3 MB SmartCache,5 GT/s DMI,35 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.00 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,90C (PGA); 105C (BGA),Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3130M @ 2.60GHz,NA,0,2181,NA,1321,NA,35,62.32,13-Jan,BGA1023,Laptop,13-Jan,1/1/2013
Legacy Intel® Core™ Processors,Embedded,i3-3115C,Launched,Q3'13,22 nm,$293.00 ,2,4,2.50 GHz,,4 MB L3,5 GT/s DMI2,25 W,Yes,Yes,32 GB,DDR3/DDR3L 1066/1333,2,21.3 GB/s,Yes,,,,,,,,,,,,3,"1x16 & 1x4, 2x8 & 1x4 or 1x8 & 3x4",20,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX",Yes,Yes,,Yes,Intel Core i3-3210 @ 3.20GHz,$199.00*,$199.00 ,2034,10.22,1657,8.33,55,36.97,13-Jan,LGA1155,Desktop,13-Jan,1/1/2013
Legacy Intel® Core™ Processors,Mobile,i3-3120M,Launched,Q3'12,22 nm,$225.00 ,2,4,2.50 GHz,,3 MB SmartCache,5 GT/s DMI,35 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,90C (PGA); 105C (BGA),Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3217U @ 1.80GHz,$208.00*,$208.00 ,1175,5.65,903,4.34,17,69.13,12-Jul,BGA1023,Laptop,12-Jul,7/1/2012
Legacy Intel® Core™ Processors,Embedded,i3-3120ME,Launched,Q3'12,22 nm,$199.00 ,2,4,2.40 GHz,,3 MB SmartCache,5 GT/s DMI,35 W,Yes,Yes,16 GB,DDR3/DDR3L 1333/1600,2,25.6 GB/s,Yes,,650 MHz,900 MHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,1x16 1x8 2x4,1,105°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3217UE @ 1.60GHz,NA,0,1357,NA,710,NA,17,79.84,14-Jan,BGA1023,Laptop,14-Jan,1/1/2014
Legacy Intel® Core™ Processors,Mobile,i3-3130M,Launched,Q1'13,22 nm,N/A,2,4,2.60 GHz,,3 MB SmartCache,5 GT/s DMI,35 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,650 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,90C (PGA); 105C (BGA),Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3220 @ 3.30GHz,35.99,35.9,2205,61.27,1757,48.81,55,40.09,12-Aug,LGA1155,Desktop,12-Aug,8/1/2012
Legacy Intel® Core™ Processors,Desktop,i3-3210,End of Life,Q1'13,22 nm,$117.00 ,2,4,3.20 GHz,,3 MB SmartCache,5 GT/s DMI,55 W,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,No,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,65.3°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX",Yes,Yes,No,Yes,Intel Core i3-3220T @ 2.80GHz,100,10,2030,20.3,1535,15.35,35,58.01,12-Sep,LGA1155,Desktop,12-Sep,9/1/2012
Legacy Intel® Core™ Processors,Mobile,i3-3217U,Launched,Q2'12,22 nm,$225.00 ,2,4,1.80 GHz,,3 MB SmartCache,5 GT/s DMI,17 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,1.05 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3225 @ 3.30GHz,18.96,18.9,2116,111.6,1616,85.22,55,38.47,12-Sep,LGA1155,Desktop,12-Sep,9/1/2012
Legacy Intel® Core™ Processors,Embedded,i3-3217UE,Launched,Q3'12,22 nm,$221.00 ,2,4,1.60 GHz,,3 MB SmartCache,5 GT/s DMI,17 W,Yes,Yes,16 GB,DDR3/DDR3L 1333/1600,2,25.6 GB/s,Yes,,350 MHz,900 MHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,1x16 2x8 1x8 2x4,1,105°C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3227U @ 1.90GHz,NA,0,1297,NA,1003,NA,17,76.31,13-Jan,BGA1023,Laptop,13-Jan,1/1/2013
Legacy Intel® Core™ Processors,Desktop,i3-3220T,Launched,Q3'12,22 nm,$117.00 ,2,4,2.80 GHz,,3 MB SmartCache,5 GT/s DMI,35 W,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,No,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,65.0°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX",Yes,Yes,No,Yes,Intel Core i3-3229Y @ 1.40GHz,NA,0,1232,NA,679,NA,13,94.76,13-Jan,BGA1023,Desktop,13-Jan,1/1/2013
Legacy Intel® Core™ Processors,Desktop,i3-3220,Launched,Q3'12,22 nm,$112.00 - $117.00,2,4,3.30 GHz,,3 MB SmartCache,5 GT/s DMI,55 W,Yes,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,No,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,65.3°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX",Yes,Yes,No,Yes,Intel Core i3-3240 @ 3.40GHz,45,4,2306,51.24,1793,39.85,55,41.92,12-Mar,LGA1155,Desktop,12-Mar,3/1/2012
Legacy Intel® Core™ Processors,Mobile,i3-3227U,Launched,Q1'13,22 nm,$225.00 ,2,4,1.90 GHz,,3 MB SmartCache,5 GT/s DMI,17 W,No,Yes,32 GB,DDR3/L/-RS 1333/1600,2,25.6 GB/s,No,,350 MHz,1.10 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,105 C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-3240T @ 2.90GHz,NA,0,2076,NA,1504,NA,35,59.31,12-Jan,LGA1155,Desktop,12-Jan,1/1/2012
Legacy Intel® Core™ Processors,Desktop,i3-3225,End of Life,Q3'12,22 nm,$134.00 ,2,4,3.30 GHz,,3 MB SmartCache,5 GT/s DMI,55 W,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,No,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,65.3°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX",Yes,Yes,No,Yes,Intel Core i3-3245 @ 3.40GHz,60.99,60.9,2936,48.13,1878,30.79,55,53.37,13-Jan,LGA1155,Desktop,13-Jan,1/1/2013
Legacy Intel® Core™ Processors,Desktop,i3-3240,Launched,Q3'12,22 nm,$117.00 ,2,4,3.40 GHz,,3 MB SmartCache,5 GT/s DMI,55 W,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,No,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,65.3°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX",Yes,Yes,No,Yes,Intel Core i3-3250 @ 3.50GHz,60,6,2420,40.34,1807,30.11,55,44.01,13-Jan,LGA1155,Desktop,13-Jan,1/1/2013
Legacy Intel® Core™ Processors,Desktop,i3-3245,End of Life,Q2'13,22 nm,$134.00 - $144.00,2,4,3.40 GHz,,3 MB SmartCache,5 GT/s DMI,55 W,No,Yes,32 GB,DDR3 1333/1600,2,25.6 GB/s,No,,650 MHz,1.05 GHz,,,,,,,,,2,"up to 1x16, 2x8, 1x8 & 2x4",,65.3°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX",Yes,Yes,No,Yes,Intel Core i3-3250T @ 3.00GHz,NA,0,2641,NA,1682,NA,35,75.45,16-Mar,FCLGA1155,Desktop,16-Mar,3/1/2016
Legacy Intel® Core™ Processors,Desktop,Q9505S,End of Interactive Support,Q3'09,45 nm,N/A,4,,2.83 GHz,,6 MB L2,1333 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,76.3°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core i3-330E @ 2.13GHz,NA,0,1249,NA,959,NA,35,35.68,12-Jul,BGA1288,Laptop,12-Jul,7/1/2012
Legacy Intel® Core™ Processors,Desktop,Q9550,End of Interactive Support,Q1'08,45 nm,$287.00 ,4,,2.83 GHz,,12 MB L2,1333 MHz FSB,95 W,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core i3-330M @ 2.13GHz,149.95,149.9,944,6.29,758,5.06,35,26.97,10-Jan,BGA1288,Laptop,10-Jan,1/1/2010
Legacy Intel® Core™ Processors,Desktop,Q9550S,End of Interactive Support,Q1'09,45 nm,$340.00 ,4,,2.83 GHz,,12 MB L2,1333 MHz FSB,65 W,No,,,,,,,,,,,,,,,,,,,,,76.3°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core i3-330UM @ 1.20GHz,NA,0,660,NA,469,NA,18,36.66,10-Jun,BGA1288,Laptop,10-Jun,6/1/2010
Legacy Intel® Core™ Processors,Desktop,Q9650,End of Interactive Support,Q3'08,45 nm,$339.00 ,4,,3.00 GHz,,12 MB L2,1333 MHz FSB,95 W,No,,,,,,,,,,,,,,,,,,,,,71.4°C,No,Yes,Yes,64-bit,,Yes,Yes,,Yes,Intel Core i3-350M @ 2.27GHz,$34.05*,$34.05 ,1008,29.6,896,26.33,35,28.79,10-Jan,BGA1288,Laptop,10-Jan,1/1/2010
Legacy Intel® Core™ Processors,Mobile,i3-330E,End of Interactive Support,Q1'10,32 nm,$138.00 ,2,4,2.13 GHz,,3 MB SmartCache,2.5 GT/s DMI,35 W,Yes,Yes,8.79 GB,DDR3 800/1066 ,2,17.1 GB/s,Yes,,500 MHz,667 MHz,,,,,,,,,2,"1X16, 2X8",16,"90°C for rPGA,105°C for BGA",Yes,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes,Intel Core i3-370M @ 2.40GHz,$34.81*,$34.81 ,1152,33.1,995,28.59,35,32.92,10-Jul,PGA988A,Laptop,10-Jul,7/1/2010
Legacy Intel® Core™ Processors,Mobile,i3-330M,End of Interactive Support,Q1'10,32 nm,$177.00 ,2,4,2.13 GHz,,3 MB SmartCache,2.5 GT/s DMI,35 W,No,,8 GB,DDR3 800/1066 ,2,17.1 GB/s,No,,500 MHz,667 MHz,,,,,,,,,2,1x16,16,"90°C for rPGA, 105°C for BGA",Yes,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes,Intel Core i3-380M @ 2.53GHz,38.68,38.6,1166,30.14,1053,27.22,35,33.31,10-Nov,PGA988A,Laptop,10-Nov,11/1/2010
Legacy Intel® Core™ Processors,Mobile,i3-330UM,End of Interactive Support,Q2'10,32 nm,N/A,2,4,1.20 GHz,,3 MB SmartCache,2.5 GT/s DMI,18 W,No,,8 GB,DDR3 800,2,12.8 GB/s,No,,166 MHz,500 MHz,,,,,,,,,2,1x16,16,105°C,Yes,Yes,Yes,64-bit,SSE4.1/4.2,Yes,Yes,,Yes,Intel Core i3-380UM @ 1.33GHz,NA,0,731,NA,538,NA,18,40.6,10-Oct,BGA1288,Laptop,10-Oct,10/1/2010
Legacy Intel® Core™ Processors,Desktop,i7-970,End of Interactive Support,Q3'10,32 nm,$594.00 ,6,12,3.20 GHz,3.46 GHz,12 MB SmartCache,4.8 GT/s QPI,130 W,No,,24 GB,DDR3 800/1066 ,3,25.6 GB/s,No,,,,,,,,,,,,,,,67.9°C,Yes,Yes,Yes,64-bit,SSE4.2,Yes,No,,Yes,Intel Core i3-390M @ 2.67GHz,$38.95*,$38.95 ,1227,31.49,1088,27.92,35,35.05,11-Feb,BGA1288,Laptop,11-Feb,2/1/2011
4th Generation Intel® Core™ i3 Processors,Mobile,i3-4012Y,Launched,Q3'13,22 nm,$281.00 ,2,4,1.50 GHz,,3 MB SmartCache,5 GT/s DMI2,11.5 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,850 MHz,2 GB,eDP/DP/HDMI,,2560x1600@60Hz,2561x1600@60Hz,,11.2/12,,2,"4x1, 2x4",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4000M @ 2.40GHz,$49.86*,$49.86 ,1836,36.82,1345,26.98,37,49.62,13-Sep,FCPGA946,Laptop,13-Sep,9/1/2013
4th Generation Intel® Core™ i3 Processors,Mobile,i3-4020Y,Launched,Q3'13,22 nm,$281.00 ,2,4,1.50 GHz,,3 MB SmartCache,5 GT/s DMI2,11.5 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,850 MHz,2 GB,eDP/DP/HDMI,,2560x1600@60Hz,2561x1600@60Hz,,11.2/12,,2,"4x1, 2x4",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4005U @ 1.70GHz,NA,0,1693,NA,939,NA,15,112.88,14-Mar,FCBGA1168,Laptop,14-Mar,3/1/2014
4th Generation Intel® Core™ i3 Processors,Mobile,i3-4025U,Launched,Q2'14,22 nm,$275.00 ,2,4,1.90 GHz,,3 MB SmartCache,5 GT/s DMI2,15 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,950 MHz,2 GB,eDP/DP/HDMI,,3200x2000@60Hz,3200x2000@60Hz,,11.2/12,,2,"4x1, 1x4, 1x2",10,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4010U @ 1.70GHz,199,19,1706,8.57,952,4.79,15,113.75,13-Jan,BGA1168,Laptop,13-Jan,1/1/2013
4th Generation Intel® Core™ i3 Processors,Mobile,i3-4030U,Launched,Q2'14,22 nm,$281.00 ,2,4,1.90 GHz,,3 MB SmartCache,5 GT/s DMI2,15 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,1.00 GHz,2 GB,eDP/DP/HDMI,,3200x2000@60Hz,3200x2000@60Hz,,11.2/12,,2,"4x1, 2x4",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4010Y @ 1.30GHz,NA,0,1337,NA,721,NA,11.5,116.26,13-Dec,BGA1168,Desktop,13-Dec,12/1/2013
Legacy Intel® Core™ Processors,Mobile,T6670,End of Interactive Support,Q3'09,45 nm,N/A,2,,2.20 GHz,,2 MB L2,800 MHz FSB,35 W,No,,,,,,,,,,,,,,,,,,,,,105°C ,No,Yes,Yes,64-bit,,,,,Yes,Intel Core i3-4012Y @ 1.50GHz,NA,0,1421,NA,781,NA,11.5,123.53,14-Jun,FCBGA1168,Laptop,14-Jun,6/1/2014
Legacy Intel® Core™ Processors,Mobile,T6600,End of Interactive Support,Q1'09,45 nm,N/A,2,,2.20 GHz,,2 MB L2,800 MHz FSB,35 W,No,,,,,,,,,,,,,,,,,,,,,90°C,No,No,Yes,64-bit,,,,,Yes,Intel Core i3-4020Y @ 1.50GHz,NA,0,1502,NA,800,NA,11.5,130.6,14-Jan,BGA1168,Desktop,14-Jan,1/1/2014
Legacy Intel® Core™ Processors,Mobile,T6500,End of Interactive Support,Q2'09,45 nm,N/A,2,,2.10 GHz,,2 MB L2,800 MHz FSB,35 W,No,,,,,,,,,,,,,,,,,,,,,105°C,No,No,Yes,64-bit,,,,,Yes,Intel Core i3-4025U @ 1.90GHz,NA,0,1930,NA,1076,NA,15,128.67,14-Aug,FCBGA1168,Laptop,14-Aug,8/1/2014
Legacy Intel® Core™ Processors,Mobile,T6400,End of Interactive Support,Q1'09,45 nm,N/A,2,,2.00 GHz,,2 MB L2,800 MHz FSB,35 W,No,,,,,,,,,,,,,,,,,,,,,105°C,No,No,Yes,64-bit,,,,,Yes,Intel Core i3-4030U @ 1.90GHz,NA,0,1894,NA,1053,NA,15,126.3,14-Jun,FCBGA1168,Laptop,14-Jun,6/1/2014
Legacy Intel® Core™ Processors,Mobile,i7-2960XM,Launched,Q4'11,32 nm,N/A,4,8,2.70 GHz,3.70 GHz,8 MB SmartCache,5 GT/s DMI,55 W,No,Yes,32 GB,DDR3 1066/1333/1600,2,25.6 GB/s,No,,650 MHz,1.30 GHz,,eDP/DP/HDMI/SDVO/CRT,,,,,,,2,"1x16, 2x8, 1x8 2x4",1,100 C,Yes,Yes,Yes,64-bit,AVX,Yes,Yes,,Yes,Intel Core i3-4030Y @ 1.60GHz,NA,0,1657,NA,856,NA,11.5,144.06,14-Nov,FCBGA1168,Laptop,14-Nov,11/1/2014
4th Generation Intel® Core™ i3 Processors,Embedded,i3-4112E,Launched,Q2'14,22 nm,$225.00 ,2,4,1.80 GHz,,3 MB SmartCache,5 GT/s DMI2,25 W,Yes,Yes,32 GB,DDR3L 1333/1600,2,25.6 GB/s,Yes,,400 MHz,900 MHz,,eDP/DP/HDMI/VGA,,,,,,,3,"Up to 1x16, 2x8, 1x8 2x4",16,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4100M @ 2.50GHz,$218.57*,$218.57 ,2493,11.4,1404,6.42,37,67.37,14-Oct,FCPGA946,Laptop,14-Oct,10/1/2014
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4170T,End of Life,Q1'15,22 nm,$117.00 ,2,4,3.20 GHz,,3 MB,5 GT/s DMI2,35 W,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,200 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4110M @ 2.60GHz,NA,0,2613,NA,1298,NA,37,70.63,14-Dec,FCPGA946,Laptop,14-Dec,12/1/2014
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4160T,End of Life,Q3'14,22 nm,$117.00 ,2,4,3.10 GHz,,3 MB SmartCache,5 GT/s DMI2,35 W,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,200 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4120U @ 2.00GHz,NA,0,1987,NA,1164,NA,15,132.5,16-May,FCBGA1168,Laptop,16-May,5/1/2016
4th Generation Intel® Core™ i3 Processors,Mobile,i3-4010Y,Launched,Q3'13,22 nm,$281.00 ,2,4,1.30 GHz,,3 MB SmartCache,5 GT/s DMI2,11.5 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,850 MHz,2 GB,eDP/DP/HDMI,,2560x1600@60Hz,2561x1600@60Hz,,11.2/12,,2,"4x1, 2x4",12,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4130 @ 3.40GHz,72,7,3297,45.8,1905,26.46,54,61.06,13-Jan,LGA1150,Desktop,13-Jan,1/1/2013
4th Generation Intel® Core™ i3 Processors,Mobile,i3-4005U,Launched,Q3'13,22 nm,$275.00 ,2,4,1.70 GHz,,3 MB SmartCache,5 GT/s DMI2,15 W,No,Yes,16 GB,"DDR3L 1333/1600, LPDDR3 1333/1600",2,25.6 GB/s,No,,200 MHz,950 MHz,2 GB,eDP/DP/HDMI,,3200x2000@60Hz,3200x2000@60Hz,,11.2/12,,2,"4x1, 1x4, 1x2",10,100°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4130T @ 2.90GHz,$248.56*,$248.56 ,2792,11.23,1642,6.61,35,79.77,13-Jan,LGA1150,Desktop,13-Jan,1/1/2013
Legacy Intel® Core™ Processors,Mobile,SU9600,End of Interactive Support,Q1'09,45 nm,N/A,2,,1.60 GHz,,3 MB L2,800 MHz FSB,10 W,No,,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Core i3-4150 @ 3.50GHz,89.1,89,3339,37.48,1963,22.03,54,61.84,14-May,FCLGA1150,Desktop,14-May,5/1/2014
Legacy Intel® Core™ Processors,Mobile,SP9300,End of Interactive Support,Q3'08,45 nm,$247.00 ,2,,2.26 GHz,,6 MB L2,1066 MHz FSB,25 W,Yes,Yes,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64-bit,,No,,,Yes,Intel Core i3-4150T @ 3.00GHz,$219.95*,$219.95 ,2612,11.87,1412,6.42,35,74.62,14-Jul,FCLGA1150,Desktop,14-Jul,7/1/2014
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4160,End of Life,Q3'14,22 nm,$117.00 ,2,4,3.60 GHz,,3 MB SmartCache,5 GT/s DMI2,54 W,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,Yes,Yes,Intel Core i3-4158U @ 2.00GHz,NA,0,1753,NA,994,NA,28,62.62,14-Dec,FCBGA1168,Laptop,14-Dec,12/1/2014
Legacy Intel® Core™ Processors,Mobile,SP9400,End of Interactive Support,Q3'08,45 nm,N/A,2,,2.40 GHz,,6 MB L2,1066 MHz FSB,25 W,No,,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64-bit,,No,,,Yes,Intel Core i3-4160 @ 3.60GHz,79.99,79.9,3439,43,2010,25.12,54,63.69,14-Aug,FCLGA1150,Desktop,14-Aug,8/1/2014
Legacy Intel® Core™ Processors,Mobile,SP9600,End of Interactive Support,Q1'09,45 nm,N/A,2,,2.53 GHz,,6 MB L2,1066 MHz FSB,25 W,No,,,,,,,,,,,,,,,,,,,,,105°C,No,Yes,Yes,64-bit,,,,,Yes,Intel Core i3-4160T @ 3.10GHz,$149.99*,$149.99 ,3094,20.63,1753,11.69,35,88.39,14-Oct,LGA1150,Desktop,14-Oct,10/1/2014
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4150,End of Life,Q2'14,22 nm,$117.00 ,2,4,3.50 GHz,,3 MB SmartCache,5 GT/s DMI2,54 W,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,350 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,72°C,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,,Yes,Intel Core i3-4170 @ 3.70GHz,265.24,265.2,3593,13.55,2111,7.96,54,66.54,15-May,LGA1150,Desktop,15-May,5/1/2015
4th Generation Intel® Core™ i3 Processors,Desktop,i3-4150T,End of Life,Q2'14,22 nm,$117.00 ,2,4,3.00 GHz,,3 MB SmartCache,5 GT/s DMI2,35 W,No,Yes,32 GB,"DDR3-1333/1600, DDR3L-1333/1600 @ 1.5V",2,25.6 GB/s,Yes,,200 MHz,1.15 GHz,2 GB,eDP/DP/HDMI/DVI/VGA,,4096x2304@24Hz,3840x2160@60Hz,3840x2160@60Hz,11.1/12,,Up to 3.0,"Up to 1x16, 2x8, 1x8+2x4",16,66.4°C ,Yes,Yes,Yes,64-bit,"SSE4.1/4.2, AVX 2.0",Yes,Yes,,Yes,Intel Core i3-4170T @ 3.20GHz,$209.95*,$209.95 ,3210,15.29,1814,8.64,35,91.71,15-Oct,LGA1150,Desktop,15-Oct,10/1/2015
Legacy Intel® Core™ Processors,Mobile,L7400,End of Interactive Support,Q3'06,65 nm,N/A,2,,1.50 GHz,,4 MB L2,667 MHz FSB,17 W,Yes,,,,,,,,,,,,,,,,,,,,,100°C,No,Yes,Yes,64-bit,,No,,,Yes,Intel Core i3-4330 @ 3.50GHz,$58.99*,$58.99 ,3562,60.38,2026,34.35,54,65.96,13-Jan,LGA1150,Desktop,13-Jan,1/1/2013
