,name,year,process,noCores,noThreads,baseFreq,CacheVal,maxMem,MemType,MemType_class,MemChannels,PCI_express,HyperTh,virtualTh,intel64,TDP,price,CPUMark,ThreadMark
344,Intel i5-7400,2017,14,4,4,3,6,64,DDR4,2,2,16,0,1,1,65,182,5517,2106
345,Intel i5-7400T,2017,14,4,4,2.4,6,64,DDR4,2,2,16,0,1,1,35,182,4324,1813
346,Intel i5-7442EQ,2017,14,4,4,2.1,6,64,DDR4,2,2,16,0,1,1,25,250,4853,1815
347,Intel i5-750,2009,45,4,4,2.66,8,16,DDR3,1,2,16,0,1,1,95,193,2424,1216
348,Intel i5-7500,2017,14,4,4,3.4,6,64,DDR4,2,2,16,0,1,1,65,192,6187,2290
349,Intel i5-7500T,2017,14,4,4,2.7,6,64,DDR4,2,2,16,0,1,1,35,192,5432,1998
350,Intel i5-760,2010,45,4,4,2.8,8,16,DDR3,1,2,16,0,1,1,95,213,2562,1296
351,Intel i5-7600,2017,14,4,4,3.5,6,64,DDR4,2,2,16,0,1,1,65,213,6610,2467
352,Intel i5-7600K,2017,14,4,4,3.8,6,64,DDR4,2,2,16,0,1,1,91,242,6732,2539
353,Intel i5-7600T,2017,14,4,4,2.8,6,64,DDR4,2,2,16,0,1,1,35,213,6252,2256
354,Intel i5-7640X,2017,14,4,4,4,6,64,DDR4,2,2,16,0,1,1,112,242,6119,2431
355,Intel i5-7Y54,2016,14,2,4,1.2,4,16,DDR3,1,2,10,1,1,1,4.5,281,2757,1669
356,Intel i5-7Y57,2017,14,2,4,1.2,4,16,DDR3,1,2,10,1,1,1,4.5,281,2939,1721
357,Intel i5-8250U,2017,14,4,8,1.6,6,32,DDR4,2,2,12,1,1,1,15,297,6203,1991
358,Intel i5-8350U,2017,14,4,8,1.7,6,32,DDR4,2,2,12,1,1,1,15,297,6504,2088
359,Intel i7-2600,2011,32,4,8,3.4,8,32,DDR3,1,2,16,1,1,1,95,261,5342,1735
360,Intel i7-2610UE,2011,32,2,4,1.5,4,16.6,DDR3,1,2,16,1,1,1,17,280,1402,966
361,Intel i7-2655LE,2011,32,2,4,2.2,4,16.6,DDR3,1,2,16,1,1,1,25,306,1917,1283
362,Intel i7-2710QE,2011,32,4,8,2.1,6,16.6,DDR3,1,2,20,1,1,1,45,295,3683,1375
363,Intel i7-2715QE,2011,32,4,8,2.1,6,16.6,DDR3,1,2,16,1,1,1,45,295,3204,1279
364,Intel i7-2760QM,2011,32,4,8,2.4,6,32,DDR3,1,2,16,1,1,1,45,378,4278,1576
365,Intel i7-2820QM,2011,32,4,8,2.3,8,32,DDR3,1,2,16,1,1,1,45,570,4423,1556
366,Intel i7-2860QM,2011,32,4,8,2.5,8,32,DDR3,1,2,16,1,1,1,45,568,4531,1605
367,Intel i7-3517UE,2012,22,2,4,1.7,4,16,DDR3,1,2,16,1,1,1,17,280,2133,1204
368,Intel i7-3520M,2012,22,2,4,2.9,4,32,DDR3,1,2,16,1,1,1,35,346,2868,1712
369,Intel i7-3537U,2013,22,2,4,2,4,32,DDR3,1,2,16,1,1,1,17,346,2330,1418
370,Intel i7-3540M,2013,22,2,4,3,4,32,DDR3,1,2,16,1,1,1,35,346,2855,1804
371,Intel i7-3555LE,2012,22,2,4,2.5,4,16,DDR3,1,2,16,1,1,1,25,306,1873,979
372,Intel i7-3610QE,2012,22,4,8,2.3,6,32.23,DDR3,1,2,16,1,1,1,45,335,4714,1651
373,Intel i7-3610QM,2012,22,4,8,2.3,6,32,DDR3,1,2,16,1,1,1,45,378,5233,1679
374,Intel i7-3612QE,2012,22,4,8,2.1,6,16.11,DDR3,1,2,16,1,1,1,35,363,4667,1662
375,Intel i7-3615QE,2012,22,4,8,2.3,6,16.11,DDR3,1,2,16,1,1,1,45,335,5165,1722
376,Intel i7-3615QM,2012,22,4,8,2.3,6,32,DDR3,1,2,16,1,1,1,45,378,4871,1662
377,Intel i7-3630QM,2012,22,4,8,2.4,6,32,DDR3,1,2,16,1,1,1,45,378,5103,1673
378,Intel i7-3667U,2012,22,2,4,2,4,32,DDR3,1,2,16,1,1,1,17,346,2610,1616
379,Intel i7-3687U,2013,22,2,4,2.1,4,32,DDR3,1,2,16,1,1,1,17,346,2701,1642
380,Intel i7-3720QM,2012,22,4,8,2.6,6,32,DDR3,1,2,16,1,1,1,45,378,5713,1860
381,Intel i7-3740QM,2012,22,4,8,2.7,6,32,DDR3,1,2,16,1,1,1,45,378,5747,1905
382,Intel i7-3770,2012,22,4,8,3.4,8,32,DDR3,1,2,1,1,1,1,77,272,6372,2062
383,Intel i7-3770K,2012,22,4,8,3.5,8,32,DDR3,1,2,1,1,1,1,77,332,6436,2076
384,Intel i7-3770S,2012,22,4,8,3.1,8,32,DDR3,1,2,1,1,1,1,65,294,6174,2012
385,Intel i7-3770T,2012,22,4,8,2.5,8,32,DDR3,1,2,1,1,1,1,45,294,5364,1965
386,Intel i7-3820,2012,32,4,8,3.6,10,64.23,DDR3,1,4,40,1,1,1,130,305,5891,1783
387,Intel i7-3820QM,2012,22,4,8,2.7,8,32,DDR3,1,2,16,1,1,1,45,568,5430,1895
388,Intel i7-3840QM,2012,22,4,8,2.8,8,32,DDR3,1,2,16,1,1,1,45,568,6170,2025
389,Intel i7-3920XM,2012,22,4,8,2.9,8,32,DDR3,1,2,16,1,1,1,55,1096,5992,2024
390,Intel i7-3930K,2011,32,6,12,3.2,12,64.23,DDR3,1,4,40,1,1,1,130,594,8053,1711
391,Intel i7-3940XM,2012,22,4,8,3,8,32,DDR3,1,2,16,1,1,1,55,1096,5617,1984
392,Intel i7-3960X,2011,32,6,12,3.3,15,64,DDR3,1,4,40,1,1,1,130,1059,8795,1777
393,Intel i7-3970X,2012,32,6,12,3.5,15,64.45,DDR3,1,4,40,1,1,1,150,1059,8588,1905
394,Intel i7-4500U,2013,22,2,4,1.8,4,16,DDR3,1,2,12,1,1,1,15,393,2543,1567
395,Intel i7-4510U,2014,22,2,4,2,4,16,DDR3,1,2,12,1,1,1,15,393,2618,1556
396,Intel i7-4550U,2013,22,2,4,1.5,4,16,DDR3,1,2,12,1,1,1,15,426,2174,1294
397,Intel i7-4558U,2013,22,2,4,2.8,4,16,DDR3,1,2,12,1,1,1,28,426,3081,1730
398,Intel i7-4578U,2014,22,2,4,3,4,16,DDR3,1,2,12,1,1,1,28,426,3325,2008
399,Intel i7-4600M,2013,22,2,4,2.9,4,32,DDR3,1,2,16,1,1,1,37,346,2979,1737
400,Intel i7-4600U,2013,22,2,4,2.1,4,16,DDR3,1,2,12,1,1,1,15,393,2720,1704
401,Intel i7-4610Y,2013,22,2,4,1.7,4,16,DDR3,1,2,12,1,1,1,11.5,393,2496,1565
402,Intel i7-4650U,2013,22,2,4,1.7,4,16,DDR3,1,2,12,1,1,1,15,426,2176,1205
403,Intel i7-4700EQ,2013,22,4,8,2.4,6,32,DDR3,1,2,16,1,1,1,47,378,5004,1856
404,Intel i7-4700HQ,2013,22,4,8,2.4,6,32,DDR3,1,2,16,1,1,1,47,378,5525,1798
405,Intel i7-4700MQ,2013,22,4,8,2.4,6,32,DDR3,1,2,16,1,1,1,47,378,5205,1751
406,Intel i7-4702MQ,2013,22,4,8,2.2,6,32,DDR3,1,2,16,1,1,1,37,378,5270,1740
407,Intel i7-4710HQ,2014,22,4,8,2.5,6,32,DDR3,1,2,16,1,1,1,47,378,5425,1796
408,Intel i7-4710MQ,2014,22,4,8,2.5,6,32,DDR3,1,2,16,1,1,1,47,378,5945,1931
409,Intel i7-4712HQ,2014,22,4,8,2.3,6,32,DDR3,1,2,16,1,1,1,37,378,4850,1607
410,Intel i7-4712MQ,2014,22,4,8,2.3,6,32,DDR3,1,2,16,1,1,1,37,378,4715,1524
411,Intel i7-4720HQ,2015,22,4,8,2.6,6,32,DDR3,1,2,16,1,1,1,47,378,5787,1869
412,Intel i7-4722HQ,2015,22,4,8,2.4,6,32,DDR3,1,2,16,1,1,1,37,378,5692,1859
413,Intel i7-4750HQ,2013,22,4,8,2,6,32,DDR3,1,2,16,1,1,1,47,434,5633,1736
414,Intel i7-4760HQ,2014,22,4,8,2.1,6,32,DDR3,1,2,16,1,1,1,47,434,6247,1937
415,Intel i7-4765T,2013,22,4,8,2,8,32,DDR3,1,2,16,1,1,1,35,303,4993,1632
416,Intel i7-4770,2013,22,4,8,3.4,8,32,DDR3,1,2,16,1,1,1,84,303,7073,2172
417,Intel i7-4770HQ,2014,22,4,8,2.2,6,32,DDR3,1,2,16,1,1,1,47,434,6061,1852
418,Intel i7-4770K,2013,22,4,8,3.5,8,32,DDR3,1,2,16,1,1,1,84,339,7051,2149
419,Intel i7-4770R,2013,22,4,8,3.2,6,32,DDR3,1,2,16,1,1,1,65,358,6638,2136
420,Intel i7-4770S,2013,22,4,8,3.1,8,32,DDR3,1,2,16,1,1,1,65,303,6799,2183
421,Intel i7-4770T,2013,22,4,8,2.5,8,32,DDR3,1,2,16,1,1,1,45,303,5965,2105
422,Intel i7-4770TE,2013,22,4,8,2.3,8,32,DDR3,1,2,16,1,1,1,45,303,4271,1462
423,Intel i7-4771,2013,22,4,8,3.5,8,32,DDR3,1,2,16,1,1,1,84,314,6884,2189
424,Intel i7-4785T,2014,22,4,8,2.2,8,32,DDR3,1,2,16,1,1,1,35,303,5470,1771
