,name,year,TDP,price,G3DMark,G2DMark
118,GeForce GTX 480,2012,250,579,3736,418
119,Quadro P620,2018,40,150.93,3712,657
120,Radeon RX 560,2017,80,109.99,3589,496
121,GeForce GTX 590,2011,365,184,3562,572
122,Quadro K2200,2014,68,123.1,3556,513
123,GeForce GTX 960M,2015,65,1169,3529,239
124,Tesla C2050,2010,-1,269.9,3515,493
125,Quadro M2000M,2015,55,279.9,3472,331
126,Tesla C2075,2012,-1,340.5,3364,537
127,GRID K520,2013,-1,749.9,3344,204
128,GeForce GTX 750,2014,55,129.9,3321,418
129,GeForce GTX 680M,2012,100,135.9,3304,429
130,Tesla M10,2019,-1,3202.2,3248,541
131,GeForce 770M,2016,-1,176.9,3246,500
132,Quadro P600,2017,40,241,3192,532
133,GRID K2,2013,-1,289.9,3176,413
134,GeForce GTX 470,2012,215,522,3139,367
135,Quadro 6000,2010,204,3899.99,3128,515
136,Radeon Pro 455,2018,-1,449,3113,705
137,Radeon HD 7790,2013,85,180.3,3095,473
138,Radeon R9 360,2015,85,519,3032,460
139,Radeon R7 260X,2013,115,132.2,3021,494
140,Radeon R7 360,2015,100,125,2989,448
141,GeForce GTX 560 Ti,2012,170,81.6,2981,366
142,FirePro W5000,2012,75,169.8,2949,555
143,GeForce GTX 465,2012,200,263.2,2946,582
144,Radeon HD 6970,2012,250,59.9,2942,396
145,Quadro K5100M,2014,100,285.9,2934,534
146,Radeon HD 6990,2011,375,159.9,2933,563
147,FirePro W4300,2016,50,239.9,2909,785
148,Radeon R7 260,2014,95,89.9,2892,559
149,Quadro K1200,2015,45,190.8,2860,601
150,Quadro M1000M,2015,40,85.9,2852,324
151,FirePro 3D V9800,2011,225,2499,2812,556
152,GeForce GTX 560,2012,150,95.9,2756,375
153,FirePro V7900,2011,150,144,2749,651
154,Radeon HD 6950,2012,200,148.3,2746,357
155,Quadro K4100M,2013,100,198,2719,397
156,FirePro W5100,2014,75,279.1,2717,421
157,Quadro K4000,2012,80,175.9,2683,422
158,GeForce GTX 770M,2013,75,138,2663,286
159,FirePro R5000,2016,-1,109.9,2647,625
160,GeForce GT 1030,2017,30,79.99,2617,436
161,GeForce GTX 950M,2015,75,567,2603,223
162,Radeon Pro WX 3200,2019,65,189.9,2592,499
163,Quadro K5000M,2012,100,389.2,2572,647
164,GeForce GTX 650 Ti,2012,110,184.3,2502,405
165,GeForce GTX 460 v2,2011,160,199.9,2497,605
166,FirePro 3D V8800,2010,208,424.9,2438,632
167,Radeon RX 550,2017,50,84.99,2426,445
168,Radeon HD 5970,2012,294,329.9,2395,396
169,Radeon HD 5870,2012,228,289,2368,346
170,Quadro K3100M,2013,75,399.9,2287,282
171,GeForce GTX 580M,2011,100,248.6,2279,562
172,Quadro K620,2014,45,138.8,2274,467
173,Radeon HD 6970M,2011,75,215.9,2270,656
174,Radeon R7 250X,2015,95,260.7,2269,637
175,GeForce GTX 460,2012,150,169.7,2215,360
176,GeForce GTX 745,2014,55,124,2211,470
177,GeForce GTX 560 SE,2012,150,89.9,2201,575
178,Quadro 5000,2010,152,2303.99,2188,406
179,Radeon HD 6870,2012,151,150,2149,436
180,Quadro K4000M,2012,100,599.9,2146,442
181,Radeon HD 5850,2012,151,79.9,2109,368
182,Radeon R9 350,2016,60,103.8,2101,520
183,Radeon HD 7770,2012,80,145.3,2038,402
184,Quadro P520,2019,-1,1499,2031,282
185,GeForce GTX 460 SE,2012,150,159.9,2026,339
186,Radeon HD 6850,2012,127,165.3,2008,358
187,Quadro M600M,2015,30,102.9,1932,622
188,FirePro 3D V7800,2010,138,599.9,1867,562
189,Radeon R7 450,2016,65,52.4,1861,464
190,Radeon HD 6790,2011,150,64.9,1838,278
191,Quadro 5010M,2011,100,235.9,1833,568
192,Radeon HD 5830,2012,175,159.9,1792,298
193,FirePro W600,2013,75,400.9,1725,603
194,GeForce GTX 650,2012,64,89.3,1720,335
195,Radeon HD 7750,2012,55,144.99,1687,377
196,Quadro K3000M,2012,75,155,1685,372
197,Quadro P400,2017,30,113.59,1664,465
198,Quadro K2000D,2013,51,417.3,1657,535
199,GeForce GTX 550 Ti,2012,116,131.2,1599,313
200,GeForce GTX 660M,2012,50,78.9,1568,294
201,Quadro K2000,2013,51,120,1565,375
202,Radeon HD 4890,2012,190,109.9,1535,247
203,Radeon Vega 8,2018,-1,126.8,1533,422
204,Quadro 4000,2010,142,960.7,1528,370
205,Radeon HD 7730,2015,47,49.9,1469,451
206,GeForce GTX 275,2012,219,119.9,1462,499
207,GeForce GTX 285,2009,204,179.9,1450,448
208,FirePro W4100,2014,50,149.8,1448,444
209,GeForce GT 740,2014,64,154.3,1438,287
210,FirePro V5800,2016,-1,54.9,1433,482
211,Quadro K2100M,2013,55,550,1398,287
212,Radeon HD 5770,2012,108,369.2,1355,293
213,GeForce GT 545,2012,-1,55.5,1339,511
214,Quadro 4000M,2011,100,91,1337,405
215,FirePro V5900,2011,75,319.9,1325,494
216,FirePro V4900,2012,75,144.9,1310,688
217,Radeon R9 255,2014,-1,344.1,1304,350
218,FirePro 3D V5800,2010,74,369.9,1290,391
219,FirePro 3D V8750,2009,154,1230.9,1272,542
220,Radeon HD 4870,2012,150,129.9,1245,334
221,Radeon R7 430,2017,-1,114.99,1238,492
222,GeForce GTX 260,2012,202,95.3,1212,286
223,Radeon HD 6770,2011,108,76.9,1212,300
224,FirePro 3D V8700,2010,151,199.9,1206,515
225,Radeon Vega 6,2018,-1,1799.9,1179,305
226,Radeon R7 250,2013,75,59.9,1162,276
227,Radeon HD 5750,2012,86,69.4,1149,307
228,GeForce GT 640,2011,65,165,1148,262
229,Radeon R7 PRO A10-9700E,2017,-1,529,1143,460
230,GeForce GTS 450,2012,106,79.9,1138,286
231,GeForce GTX 295,2009,289,159.9,1132,462
232,Quadro FX 5800,2009,189,178.8,1128,433
233,Radeon HD 6750,2011,86,49.9,1128,340
234,Quadro 3000M,2011,75,69.9,1124,296
235,Radeon R9 M275,2014,-1,699.9,1115,569
236,Quadro K1100M,2013,45,49.9,1108,276
237,Radeon R7 A12-9800E RADEON,2017,-1,139.1,1106,389
238,Radeon HD 8570,2013,66,98.6,1073,409
239,Quadro K2000M,2012,55,144,1048,291
240,GeForce GTX 280,2012,236,522.7,1040,429
241,NVS 810,2016,-1,624.9,1015,457
242,Radeon R5 430,2017,-1,819,997,566
243,Quadro 2000D,2011,-1,170,986,396
244,Radeon E6760,2012,-1,239.9,973,573
245,Radeon R7 M445,2017,-1,744,957,269
246,Quadro 2000,2010,62,99.9,948,278
247,Quadro CX,2009,-1,149.9,947,454
248,Quadro FX 4800,2012,150,138.9,933,300
249,Radeon Vega 3,2018,-1,479.9,927,312
250,FirePro W2100,2014,26,113.9,895,388
251,FirePro 3D V4800,2010,69,159.9,882,356
252,Radeon HD 4850,2012,110,42.6,877,231
253,Radeon HD 4830,2012,95,59.9,864,206
254,Radeon R7 FX-9800P RADEON,2016,-1,530,848,341
255,GeForce GT 730,2014,49,89.99,838,227
256,GeForce GT 635,2013,-1,66.9,831,514
257,Quadro 2000M,2012,55,46.5,816,262
258,Radeon R7 240,2013,30,69.9,813,227
259,Radeon R7 A12-9720P RADEON,2017,-1,365.4,813,207
260,GRID K1,2013,-1,395,811,463
261,GeForce GT 440,2010,65,69.9,799,252
