,Brand,Name,year,Memory,Memory_speed,Memory_bus,Memory_Type,Memory_bandwidth,power,openGl,process,L2Cache,DirectX,Resolution,price,G2DMark,G3DMark
59,Nvidia,GeForce GTS 240,2009,0,1100,1,4,70.4,120,3,55,0,6,0,64.9,430,714
60,Nvidia,GeForce GTS 250,2009,0,1100,1,4,70.4,150,3,55,0,6,1,89.9,269,619
61,Nvidia,GeForce GTS 450,2010,0,902,0,1,57.7,106,4,40,256,2,1,79.9,286,1138
62,Nvidia,GeForce GTX 1050,2016,1,1752,0,1,112.1,75,4,14,1024,9,1,159.99,535,5719
63,Nvidia,GeForce GTX 1050,2016,1,1752,0,1,112.1,75,4,14,1024,9,1,159.99,535,5719
64,Nvidia,GeForce GTX 1050,2016,1,1752,0,1,112.1,75,4,14,1024,9,1,159.99,535,5719
65,Nvidia,GeForce GTX 1060,2016,3,2002,5,1,192.2,120,4,16,2048,9,8,302.2,763,10230
66,Nvidia,GeForce GTX 1060,2016,3,2002,5,1,192.2,120,4,16,2048,9,8,302.2,763,10230
67,Nvidia,GeForce GTX 1060 3GB,2016,10,2002,5,1,192.2,120,4,16,0,9,3,235.9,720,9570
68,Nvidia,GeForce GTX 1060,2016,3,2002,5,1,192.2,120,4,16,2048,9,8,302.2,763,10230
69,Nvidia,GeForce GTX 1070,2016,11,2002,1,1,256.3,150,4,16,2048,9,4,245.9,830,13309
70,Nvidia,GeForce GTX 1070,2016,11,2002,1,1,256.3,150,4,16,2048,9,4,245.9,830,13309
71,Nvidia,GeForce GTX 1070,2016,11,2002,1,1,256.3,150,4,16,2048,9,4,245.9,830,13309
72,Nvidia,GeForce GTX 1080,2016,11,1251,1,6,320.3,180,4,16,2048,9,4,669.9,861,14664
73,Nvidia,GeForce GTX 1080 Ti,2017,12,1376,6,6,484.4,220,4,16,3072,9,9,800.0,913,17283
74,Nvidia,GeForce GTX 260,2008,13,999,7,4,111.9,182,3,65,0,6,1,95.3,286,1212
75,Nvidia,GeForce GTX 275,2009,13,1134,7,4,127.0,219,3,55,0,6,1,119.9,499,1462
76,Nvidia,GeForce GTX 280,2009,0,1107,3,4,141.7,236,3,65,0,6,1,522.7,429,1040
77,Nvidia,GeForce GTX 285,2008,0,1242,3,4,159.0,204,3,55,0,6,3,179.9,448,1450
78,Nvidia,GeForce GTX 295,2009,14,999,7,4,223.8,289,3,55,0,6,3,159.9,462,1132
79,Nvidia,GeForce GTX 460,2010,0,900,1,1,115.2,160,4,40,512,2,1,169.7,360,2215
80,Nvidia,GeForce GTX 460 SE,2010,0,850,1,1,108.8,150,4,40,512,2,3,159.9,339,2026
81,Nvidia,GeForce GTX 460 v2,2011,0,1002,1,1,128.3,160,4,40,512,2,3,199.9,605,2497
82,Nvidia,GeForce GTX 465,2010,0,802,1,1,102.7,200,4,40,512,2,3,263.2,582,2946
83,Nvidia,GeForce GTX 470,2010,15,837,8,1,133.9,215,4,40,640,2,3,522.0,367,3139
84,Nvidia,GeForce GTX 480,2010,16,924,2,1,177.4,250,4,40,768,2,3,579.0,418,3736
85,Nvidia,GeForce GTX 550 Ti,2011,0,1025,5,1,98.4,116,4,40,384,2,1,131.2,313,1599
86,Nvidia,GeForce GTX 550 Ti,2011,0,1025,5,1,98.4,116,4,40,384,2,1,131.2,313,1599
87,Nvidia,GeForce GTX 560,2011,0,1001,1,1,128.1,150,4,40,512,2,1,95.9,375,2756
88,Nvidia,GeForce GTX 560,2011,0,1001,1,1,128.1,150,4,40,512,2,1,95.9,375,2756
89,Nvidia,GeForce GTX 560 Ti,2011,0,1002,1,1,128.3,170,4,40,512,2,1,81.6,366,2981
90,Nvidia,GeForce GTX 570,2010,15,950,8,1,152.0,219,4,40,640,2,3,298.6,439,3842
91,Nvidia,GeForce GTX 580,2010,16,1002,2,1,192.4,244,4,40,768,2,3,145.3,370,4519
92,Nvidia,GeForce GTX 580M,2011,1,750,1,1,96.0,100,4,40,512,2,3,248.6,562,2279
93,Nvidia,GeForce GTX 590,2011,10,854,2,1,327.9,365,4,40,1536,2,4,184.0,572,3562
94,Nvidia,GeForce GTX 560 Ti,2011,0,1002,1,1,128.3,170,4,40,512,2,1,81.6,366,2981
95,Nvidia,GeForce GTX 560 Ti,2011,0,1002,1,1,128.3,170,4,40,512,2,1,81.6,366,2981
96,Nvidia,GeForce GTX 650 Ti,2012,0,1350,0,1,86.4,110,4,28,256,2,1,184.3,405,2502
97,Nvidia,GeForce GTX 660,2012,1,1502,5,1,144.2,140,4,28,384,2,3,124.9,428,3948
98,Nvidia,GeForce GTX 660 Ti,2012,1,1502,5,1,144.2,150,4,28,384,2,3,486.6,434,4359
99,Nvidia,GeForce GTX 660M,2012,1,1000,0,1,64.0,50,4,28,256,2,1,78.9,294,1568
100,Nvidia,GeForce GTX 670,2012,1,1502,1,1,192.3,170,4,28,512,2,3,149.0,453,5211
101,Nvidia,GeForce GTX 680,2012,1,1502,1,1,192.3,195,4,28,512,2,3,179.9,488,5503
102,Nvidia,GeForce GTX 680M,2012,2,900,1,1,115.2,100,4,28,512,2,3,135.9,429,3304
103,Nvidia,GeForce GTX 690,2012,2,1500,1,1,384.0,300,4,28,1024,2,8,264.1,536,6054
104,Nvidia,GeForce GTX 750,2014,0,1250,0,1,80.0,55,4,28,2048,2,1,129.9,418,3321
105,Nvidia,GeForce GTX 750 Ti,2014,1,1350,0,1,86.4,60,4,28,2048,2,1,155.3,457,3845
106,Nvidia,GeForce GTX 760,2013,1,1502,1,1,192.3,170,4,28,512,2,3,160.3,484,4680
107,Nvidia,GeForce GTX 760,2013,1,1502,1,1,192.3,170,4,28,512,2,3,160.3,484,4680
108,Nvidia,GeForce GTX 770,2013,1,1752,1,1,224.3,230,4,28,512,2,3,109.9,560,5970
109,Nvidia,GeForce GTX 770M,2013,10,1002,5,1,96.2,75,4,28,384,2,3,138.0,286,2663
110,Nvidia,GeForce GTX 780,2013,10,1502,2,1,288.4,250,4,28,1536,2,8,129.9,541,7900
111,Nvidia,GeForce GTX 780 Ti,2013,10,1750,2,1,336.0,250,4,28,1536,2,8,225.1,635,9422
112,Nvidia,GeForce GTX 780M,2013,2,1250,1,1,160.0,122,4,28,512,2,3,189.9,423,4008
113,Nvidia,GeForce GTX 780 Ti,2013,10,1750,2,1,336.0,250,4,28,1536,2,8,225.1,635,9422
114,Nvidia,GeForce GTX 780 Ti,2013,10,1750,2,1,336.0,250,4,28,1536,2,8,225.1,635,9422
115,Nvidia,GeForce GTS 450,2010,0,902,0,1,57.7,106,4,40,256,2,1,79.9,286,1138
116,Nvidia,GeForce GTX Titan,2013,3,1502,2,1,288.4,250,4,28,1536,2,8,310.0,691,8951
117,Nvidia,GeForce GTX Titan,2013,3,1502,2,1,288.4,250,4,28,1536,2,8,310.0,691,8951
118,Nvidia,GeForce GTX Titan,2013,3,1502,2,1,288.4,250,4,28,1536,2,8,310.0,691,8951
119,Nvidia,GeForce GTX Titan,2013,3,1502,2,1,288.4,250,4,28,1536,2,8,310.0,691,8951
120,Nvidia,ION,2010,5,1100,4,0,20.8,12,3,40,0,7,13,229.9,70,71
121,Nvidia,Quadro 2000,2010,0,650,0,1,41.6,62,4,40,256,2,1,99.9,278,948
122,Nvidia,Quadro 2000D,2011,0,650,0,1,41.6,62,4,40,256,2,1,170.0,396,986
123,Nvidia,Quadro 2000M,2011,1,900,0,0,28.8,55,4,40,256,2,10,46.5,262,816
124,Nvidia,Quadro 400,2011,5,800,4,0,12.8,32,1,40,0,4,13,39.9,276,173
125,Nvidia,Quadro 4000,2010,1,702,1,1,89.9,142,1,40,384,0,3,960.7,370,1528
126,Nvidia,Quadro 410,2012,5,891,4,0,14.3,38,4,28,256,2,14,129.0,322,438
127,Nvidia,Quadro 5000,2011,18,750,8,1,120.0,152,4,40,512,2,3,2303.99,406,2188
128,Nvidia,Quadro 600,2010,0,800,0,0,25.6,40,10,40,0,0,13,59.9,222,557
129,Nvidia,Quadro 6000,2010,3,747,2,1,143.4,204,4,40,768,2,3,3899.99,515,3128
130,Nvidia,Quadro CX,2008,16,800,2,4,76.8,150,11,65,0,7,13,149.9,454,947
131,Nvidia,Quadro FX 1400,2004,7,300,1,3,9.6,70,6,90,0,5,13,245.0,294,104
132,Nvidia,Quadro FX 1500,2006,6,625,1,4,40.0,65,6,90,0,5,13,115.0,196,183
133,Nvidia,Quadro FX 1600M,2007,5,800,0,4,25.6,50,7,80,0,7,13,149.9,316,214
134,Nvidia,Quadro FX 1700,2007,5,400,0,5,12.8,42,7,80,0,7,13,27.5,159,122
135,Nvidia,Quadro FX 1800,2011,9,800,5,4,38.4,59,11,40,0,7,13,99.9,264,402
136,Nvidia,Quadro FX 2500M,2005,0,600,1,4,38.4,45,7,90,0,5,13,17.5,272,218
137,Nvidia,Quadro FX 2700M,2008,5,800,1,4,51.2,65,7,65,0,7,13,99.9,205,404
138,Nvidia,Quadro FX 2800M,2009,0,1000,1,4,64.0,75,9,65,0,7,13,49.9,187,415
139,Nvidia,Quadro FX 3500,2006,6,660,1,4,42.2,80,6,90,0,5,13,68.9,204,319
140,Nvidia,Quadro FX 3500M,2007,5,700,1,4,44.8,45,7,65,0,7,13,99.9,309,306
141,Nvidia,Quadro FX 3700,2008,5,800,1,4,51.2,78,3,65,0,7,13,89.9,304,384
142,Nvidia,Quadro FX 3700M,2008,0,800,1,4,51.2,75,7,65,0,7,13,925.0,312,567
