,name,year,TDP,Price,CPU_Mark,Thread_Mark
95,AMD Sempron 3600+,2009,62.0,15.0,559,580
96,AMD Sempron Dual Core 2100,2009,65.0,37.99,972,559
97,AMD Sempron LE-1100,2009,45.0,19.95,486,551
98,AMD Sempron LE-1150,2009,45.0,14.9,407,512
99,AMD Sempron LE-1200,2009,45.0,14.95,551,633
100,AMD Sempron SI-40,2009,25.0,12.0,198,483
101,AMD Sempron SI-42,2009,25.0,29.99,205,551
102,AMD Turion 64 Mobile ML-37,2009,35.0,25.9,489,623
103,AMD Turion 64 X2 Mobile TL-62,2009,35.0,311.0,1131,652
104,AMD Turion 64 X2 Mobile TL-64,2009,35.0,39.3,993,626
105,AMD Turion 64 X2 Mobile TL-68,2009,35.0,90.0,1319,764
106,AMD Turion X2 Ultra Dual-Core Mobile ZM-80,2009,32.0,62.0,526,598
107,AMD Opteron 2220,2009,95.0,238.0,1702,852
108,AMD Opteron 285,2009,95.0,27.9,1470,783
109,AMD Phenom 8600B Triple-Core,2009,95.0,14.9,1293,809
110,AMD Phenom II X4 805,2009,95.0,173.9,1800,1012
111,AMD Phenom II X4 945,2009,125.0,34.79,2205,1218
112,AMD Turion 64 X2 Mobile TL-66,2009,35.0,378.0,572,763
113,AMD Turion X2 Dual-Core Mobile RM-74,2009,35.0,24.4,476,629
114,AMD Turion X2 Ultra Dual-Core Mobile ZM-86,2009,35.0,49.0,569,750
115,AMD Turion X2 Ultra Dual-Core Mobile ZM-87,2009,35.0,39.9,530,663
116,AMD Athlon 1640B,2009,45.0,50.0,633,711
117,AMD Athlon 7550 Dual-Core,2009,95.0,50.0,840,895
118,AMD Athlon 7850 Dual-Core,2009,95.0,49.99,943,1087
119,AMD Athlon Dual Core 5000B,2009,65.0,95.0,839,935
120,AMD Opteron 1356,2009,75.0,89.9,1759,973
121,AMD Phenom X3 8550,2009,95.0,169.9,1252,898
122,AMD Sempron LE-1300,2009,45.0,13.0,615,599
123,AMD Athlon II X2 250,2009,65.0,16.95,1064,1109
124,AMD Opteron 290,2009,95.0,135.0,1465,876
125,AMD Phenom II X2 550,2009,80.0,17.95,1201,1221
126,AMD Phenom II X4 905e,2009,65.0,53.9,1781,999
127,AMD Athlon II X2 245,2009,65.0,13.47,1001,1103
128,AMD Opteron 2384,2009,75.0,840.0,2178,1137
129,AMD Phenom II X3 705e,2009,65.0,152.3,1284,1017
130,AMD Athlon II X2 240,2009,65.0,14.95,906,1020
131,AMD Athlon II X3 425,2009,95.0,26.9,1546,1112
132,AMD Athlon II X4 630,2009,95.0,19.89,2052,1136
133,AMD Opteron 2356,2009,75.0,42.0,1790,901
134,AMD Opteron 2431,2009,75.0,24.99,4516,877
135,AMD Phenom 8250e Triple-Core,2009,65.0,46.9,1120,773
136,AMD Phenom II X2 545,2009,80.0,43.9,1237,1239
137,AMD Phenom II X3 B75,2009,95.0,39.9,1685,1217
138,AMD Phenom II X4 965,2009,125.0,69.9,2551,1352
139,AMD Sempron 140,2009,45.0,11.95,391,829
140,AMD Turion Dual-Core RM-75,2009,35.0,27.4,507,400
141,AMD Turion X2 Ultra Dual-Core Mobile ZM-85,2009,35.0,45.0,562,745
142,AMD Athlon II X2 215,2009,65.0,15.68,943,1032
143,AMD Athlon II X4 620,2009,95.0,19.95,1985,1079
144,AMD Opteron 2220 SE,2009,119.0,25.0,1398,798
145,AMD Sempron Dual Core 2300,2009,65.0,41.9,601,721
146,AMD Athlon 5000 Dual-Core,2009,65.0,19.95,836,902
147,AMD Athlon II X2 235e,2009,45.0,16.9,972,1013
148,AMD Athlon X4 620,2009,95.0,64.9,1793,1100
149,AMD Turion II Dual-Core Mobile M520,2009,35.0,69.1,706,764
150,AMD Turion II Ultra Dual-Core Mobile M600,2009,35.0,26.7,842,896
151,AMD Athlon 64 X2 Dual Core TK-55,2009,31.0,57.7,423,583
152,AMD Athlon II Dual-Core M320,2009,35.0,30.0,569,686
153,AMD Athlon II X3 435,2009,95.0,29.9,1701,1208
154,AMD Opteron 1214,2009,103.0,54.99,714,840
155,AMD Phenom II X4 820,2009,95.0,74.9,2100,1137
156,AMD Sempron M100,2009,-1.0,12.0,287,581
157,AMD Turion X2 Dual Core Mobile RM-70,2009,31.0,132.5,382,454
158,AMD Athlon II X2 240e,2009,45.0,23.89,951,1080
159,AMD Athlon II X3 400e,2009,45.0,107.4,1348,911
160,AMD Athlon II X4 600e,2009,45.0,130.2,1733,922
161,AMD Athlon II X4 605e,2009,45.0,98.68,1813,972
162,AMD Athlon X3 435,2009,95.0,95.4,1804,1204
163,AMD Phenom II X2 B55,2009,80.0,47.9,1201,1249
164,AMD Athlon II X2 255,2010,65.0,15.0,1127,1230
165,AMD Athlon II X2 B22,2010,65.0,41.6,965,1036
166,AMD Phenom II X4 B95,2010,95.0,59.95,2239,1239
167,AMD Athlon II X2 250u,2010,25.0,11.4,512,532
168,AMD Athlon II X3 440,2010,95.0,17.9,1719,1227
169,AMD Athlon II X4 635,2010,95.0,26.95,2189,1192
170,AMD Phenom II X2 555,2010,80.0,27.9,1355,1366
171,AMD Athlon II X2 B24,2010,65.0,24.1,991,1120
172,AMD Athlon II X3 405e,2010,45.0,79.9,1348,983
173,AMD Athlon X3 440,2010,95.0,87.9,1457,1141
174,AMD Phenom 9450e Quad-Core,2010,65.0,105.0,1569,876
175,AMD Opteron 6128,2010,115.0,36.45,4347,688
176,AMD Phenom II N930 Quad-Core,2010,35.0,129.9,1509,812
177,AMD Phenom II X6 1055T,2010,125.0,59.95,3185,1325
178,AMD Phenom II X6 1090T,2010,125.0,120.0,3697,1455
179,AMD Phenom II X4 910e,2010,65.0,69.9,1925,1065
180,AMD Phenom II X6 1035T,2010,95.0,189.0,2885,1193
181,AMD Athlon II 160u,2010,20.0,29.9,303,603
182,AMD Athlon II Neo K325 Dual-Core,2010,12.0,25.9,410,452
183,AMD Athlon II P320 Dual-Core,2010,25.0,29.9,606,711
184,AMD Athlon II X2 220,2010,65.0,24.2,955,1053
185,AMD Athlon II X4 640,2010,95.0,29.95,2161,1224
186,AMD Phenom II N620 Dual-Core,2010,35.0,3.9,968,1020
187,AMD Turion II N530 Dual-Core,2010,35.0,30.0,805,926
188,AMD Athlon II X2 260,2010,65.0,18.95,955,1201
189,AMD Athlon II X3 445,2010,95.0,14.7,1668,1275
190,AMD Phenom II P920 Quad-Core,2010,25.0,65.0,1160,586
191,AMD Phenom II X3 740,2010,95.0,88.9,1769,1205
