,name,year,process,noCores,noThreads,baseFreq,CacheVal,maxMem,MemType,MemType_class,MemChannels,PCI_express,HyperTh,virtualTh,intel64,TDP,price,CPUMark,ThreadMark
938,Intel W3550,2009,45,4,8,3.06,8,24,DDR3,1,3,1,1,1,1,130,305,3037,1359
939,Intel W3565,2009,45,4,8,3.2,8,24,DDR3,1,3,1,1,1,1,130,305,3324,1492
940,Intel W3570,2009,45,4,8,3.2,8,24,DDR3,1,3,1,1,1,1,130,1059,3419,1531
941,Intel W3580,2009,45,4,8,3.33,8,24,DDR3,1,3,1,1,1,1,130,1059,3490,1569
942,Intel W3670,2010,32,6,12,3.2,12,24,DDR3,1,3,1,1,1,1,130,594,6744,1511
943,Intel W3680,2010,32,6,12,3.33,12,24,DDR3,1,3,1,1,1,1,130,594,6894,1572
944,Intel X3330,2008,45,4,1,2.66,6,1,DDR3,1,1,1,0,1,1,95,202,2019,1187
945,Intel X3350,2008,45,4,1,2.66,12,1,DDR3,1,1,1,0,1,1,95,268,2321,1154
946,Intel X3360,2008,45,4,1,2.83,12,1,DDR3,1,1,1,0,1,1,95,287,2034,1219
947,Intel X3370,2008,45,4,1,3,12,1,DDR3,1,1,1,0,1,1,95,339,2441,1312
948,Intel X3380,2009,45,4,1,3.16,12,1,DDR3,1,1,1,0,1,1,95,562,2396,1358
949,Intel X3430,2009,45,4,4,2.4,8,32,DDR3,1,2,16,0,1,1,95,203,2311,955
950,Intel X3440,2009,45,4,8,2.53,8,32,DDR3,1,2,16,1,1,1,95,230,2568,1134
951,Intel X3450,2009,45,4,8,2.66,8,32,DDR3,1,2,16,1,1,1,95,237,2648,1105
952,Intel X3460,2009,45,4,8,2.8,8,32,DDR3,1,2,16,1,1,1,95,328,3187,1365
953,Intel X3470,2009,45,4,8,2.93,8,32,DDR3,1,2,16,1,1,1,95,339,3156,1399
954,Intel X3480,2010,45,4,8,3.06,8,32,DDR3,1,2,16,1,1,1,95,623,3251,1486
955,Intel X5450,2007,45,4,1,3,12,1,DDR3,1,1,1,0,1,1,120,912,2421,1232
956,Intel X5460,2007,45,4,1,3.16,12,1,DDR3,1,1,1,0,1,1,120,1245,2520,1368
957,Intel X5470,2008,45,4,1,3.33,12,1,DDR3,1,1,1,0,1,1,120,1467,2644,1436
958,Intel X5647,2011,32,4,8,2.93,12,288,DDR3,1,3,1,1,1,1,130,774,4553,1355
959,Intel X5650,2010,32,6,12,2.66,12,288,DDR3,1,3,1,1,1,1,95,996,5894,1322
960,Intel X5660,2010,32,6,12,2.8,12,288,DDR3,1,3,1,1,1,1,95,1219,6216,1407
961,Intel X5667,2010,32,4,8,3.06,12,288,DDR3,1,3,1,1,1,1,95,1440,4545,1447
962,Intel X5670,2010,32,6,12,2.93,12,288,DDR3,1,3,1,1,1,1,95,1440,5978,1346
963,Intel X5675,2011,32,6,12,3.06,12,288,DDR3,1,3,1,1,1,1,95,1440,6377,1450
964,Intel X5677,2010,32,4,8,3.46,12,288,DDR3,1,3,1,1,1,1,130,1663,6474,1497
965,Intel X5680,2010,32,6,12,3.33,12,288,DDR3,1,3,1,1,1,1,130,1663,6708,1494
966,Intel X5687,2011,32,4,8,3.6,12,288,DDR3,1,3,1,1,1,1,130,1663,5416,1477
967,Intel X5690,2011,32,6,12,3.46,12,288,DDR3,1,3,1,1,1,1,130,1663,6879,1583
968,AMD Athlon 64 X2 Dual Core 3800+,2008,,,,,,,,,,,,,,,0,756,
969,AMD Athlon 64 X2 Dual Core 4200+,2008,,,,,,,,,,,,,,,195.49,730,
970,AMD Athlon 64 X2 Dual Core 4800+,2008,,,,,,,,,,,,,,,149.95,751,
971,AMD Athlon 64 X2 Dual Core 5200+,2008,,,,,,,,,,,,,,,60,781,
972,AMD Athlon 64 X2 Dual Core 5400+,2008,,,,,,,,,,,,,,,52.9,839,
973,AMD Athlon 64 X2 Dual Core 5600+,2008,,,,,,,,,,,,,,,15.95,855,
974,AMD Athlon 64 X2 Dual Core 6000+,2008,,,,,,,,,,,,,,,17.95,995,
975,AMD Athlon 64 X2 Dual Core 6400+,2008,,,,,,,,,,,,,,,32.95,1099,
976,AMD Opteron 144,2008,,,,,,,,,,,,,,,29.9,486,
977,AMD Opteron 175,2008,,,,,,,,,,,,,,,0,1168,
978,AMD Phenom 9500 Quad-Core,2008,,,,,,,,,,,,,,,18.95,1427,
979,AMD Phenom 9850 Quad-Core,2008,,,,,,,,,,,,,,,29.9,1873,
980,AMD Phenom 9950 Quad-Core,2008,,,,,,,,,,,,,,,34.9,1767,
981,AMD Turion X2 Dual-Core Mobile RM-72,2008,,,,,,,,,,,,,,,224.2,459,
982,AMD Athlon 64 3000+,2008,,,,,,,,,,,,,,,39.86,473,
983,AMD Athlon 64 3200+,2008,,,,,,,,,,,,,,,149.9,510,
984,AMD Athlon 64 3500+,2008,,,,,,,,,,,,,,,18.9,563,
985,AMD Athlon 64 3700+,2008,,,,,,,,,,,,,,,69,606,
986,AMD Athlon 64 4000+,2008,,,,,,,,,,,,,,,15,494,
987,AMD Athlon 64 X2 Dual Core 3600+,2008,,,,,,,,,,,,,,,50,802,
988,AMD Athlon 64 X2 Dual Core 4000+,2008,,,,,,,,,,,,,,,0,760,
989,AMD Athlon 64 X2 Dual Core 4400+,2008,,,,,,,,,,,,,,,99.68,745,
990,AMD Athlon 64 X2 Dual Core 4600+,2008,,,,,,,,,,,,,,,359.9,950,
991,AMD Athlon 64 X2 Dual Core 5000+,2008,,,,,,,,,,,,,,,331.4,929,
992,AMD Athlon 64 X2 Dual-Core TK-55,2008,,,,,,,,,,,,,,,72.7,509,
993,AMD Athlon XP 2500+,2008,,,,,,,,,,,,,,,0,356,
994,AMD Athlon XP 2600+,2008,,,,,,,,,,,,,,,23,373,
995,AMD Athlon XP 2700+,2008,,,,,,,,,,,,,,,84.7,394,
996,AMD Athlon XP 3200+,2008,,,,,,,,,,,,,,,0,433,
997,AMD Opteron 275,2008,,,,,,,,,,,,,,,54.99,1291,
998,AMD Phenom 8450 Triple-Core,2008,,,,,,,,,,,,,,,29.9,1025,
999,AMD Phenom 8650 Triple-Core,2008,,,,,,,,,,,,,,,14.8,1146,
1000,AMD Phenom 9550 Quad-Core,2008,,,,,,,,,,,,,,,17.9,1668,
1001,AMD Phenom 9600 Quad-Core,2008,,,,,,,,,,,,,,,11.9,1569,
1002,AMD Phenom 9650 Quad-Core,2008,,,,,,,,,,,,,,,38.95,1633,
1003,AMD Phenom 9750 Quad-Core,2008,,,,,,,,,,,,,,,29.1,1716,
1004,AMD Sempron 2400+,2008,,,,,,,,,,,,,,,12.99,315,
1005,AMD Sempron 2600+,2008,,,,,,,,,,,,,,,19.95,389,
1006,AMD Sempron 2800+,2008,,,,,,,,,,,,,,,12,358,
1007,AMD Sempron 3000+,2008,,,,,,,,,,,,,,,24.99,412,
1008,AMD Sempron 3300+,2008,,,,,,,,,,,,,,,15,484,
1009,AMD Sempron 3400+,2008,,,,,,,,,,,,,,,21.4,450,
1010,AMD Sempron 3800+,2008,,,,,,,,,,,,,,,14.99,554,
1011,AMD Turion 64 Mobile ML-32,2008,,,,,,,,,,,,,,,0,438,
1012,AMD Turion Dual-Core RM-70,2008,,,,,,,,,,,,,,,25,490,
1013,AMD Athlon 2650e,2009,,,,,,,,,,,,,,,19,422,
1014,AMD Athlon 64 2800+,2009,,,,,,,,,,,,,,,99.9,376,
1015,AMD Athlon 64 3400+,2009,,,,,,,,,,,,,,,0,577,
1016,AMD Athlon 64 3800+,2009,,,,,,,,,,,,,,,39.99,635,
1017,AMD Athlon 64 X2 Dual Core 5800+,2009,,,,,,,,,,,,,,,24.9,862,
1018,AMD Athlon 64 X2 QL-62,2009,,,,,,,,,,,,,,,0,409,
1019,AMD Athlon 7750 Dual-Core,2009,,,,,,,,,,,,,,,152.9,970,
1020,AMD Athlon XP 2800+,2009,,,,,,,,,,,,,,,0,401,
1021,AMD Opteron 165,2009,,,,,,,,,,,,,,,550,899,
1022,AMD Opteron 185,2009,,,,,,,,,,,,,,,0,965,
1023,AMD Phenom II X4 920,2009,,,,,,,,,,,,,,,27.89,2020,
1024,AMD Phenom II X4 940,2009,,,,,,,,,,,,,,,49.95,2168,
1025,AMD Sempron 2200+,2009,,,,,,,,,,,,,,,29.99,283,
1026,AMD Sempron 3200+,2009,,,,,,,,,,,,,,,34.98,443,
1027,AMD Turion 64 Mobile MK-36,2009,,,,,,,,,,,,,,,0,483,
1028,AMD Athlon 64 FX-55,2009,,,,,,,,,,,,,,,179.9,622,
1029,AMD Athlon 64 FX-60 Dual Core,2009,,,,,,,,,,,,,,,0,1201,
1030,AMD Athlon 64 FX-62 Dual Core,2009,,,,,,,,,,,,,,,0,860,
1031,AMD Athlon 64 X2 Dual-Core TK-53,2009,,,,,,,,,,,,,,,0,459,
1032,AMD Athlon 64 X2 Dual-Core TK-57,2009,,,,,,,,,,,,,,,0,950,
1033,AMD Athlon Dual Core 4050e,2009,,,,,,,,,,,,,,,0,605,
1034,AMD Athlon Dual Core 4450e,2009,,,,,,,,,,,,,,,14.4,675,
1035,AMD Athlon Dual Core 4850e,2009,,,,,,,,,,,,,,,39,783,
1036,AMD Athlon Dual Core 5050e,2009,,,,,,,,,,,,,,,60,821,
1037,AMD Athlon LE-1640,2009,,,,,,,,,,,,,,,0,661,
1038,AMD Athlon X2 Dual Core BE-2300,2009,,,,,,,,,,,,,,,0,537,
1039,AMD Athlon XP 1600+,2009,,,,,,,,,,,,,,,0,268,
1040,AMD Athlon XP 1700+,2009,,,,,,,,,,,,,,,61.2,271,
1041,AMD Athlon XP 2000+,2009,,,,,,,,,,,,,,,24.9,300,
1042,AMD Athlon XP 2100+,2009,,,,,,,,,,,,,,,0,323,
1043,AMD Athlon XP 2200+,2009,,,,,,,,,,,,,,,84.9,329,
1044,AMD Athlon XP 2400+,2009,,,,,,,,,,,,,,,79.99,361,
1045,AMD Opteron 1216,2009,,,,,,,,,,,,,,,54.8,752,
1046,AMD Opteron 170,2009,,,,,,,,,,,,,,,0,1097,
1047,AMD Opteron 180,2009,,,,,,,,,,,,,,,98.99,1264,
1048,AMD Phenom 8600 Triple-Core,2009,,,,,,,,,,,,,,,52.9,1119,
1049,AMD Phenom 8750 Triple-Core,2009,,,,,,,,,,,,,,,0,1291,
1050,AMD Phenom 9100e Quad-Core,2009,,,,,,,,,,,,,,,39.9,1165,
1051,AMD Phenom 9150e Quad-Core,2009,,,,,,,,,,,,,,,39.9,1258,
1052,AMD Phenom 9350e Quad-Core,2009,,,,,,,,,,,,,,,3382,1509,
1053,AMD Phenom II X3 710,2009,,,,,,,,,,,,,,,84.5,1404,
1054,AMD Phenom II X3 720,2009,,,,,,,,,,,,,,,19.95,1541,
1055,AMD Phenom II X4 810,2009,,,,,,,,,,,,,,,24.95,1832,
1056,AMD Sempron LE-1250,2009,,,,,,,,,,,,,,,37.99,544,
1057,AMD Turion 64 Mobile ML-34,2009,,,,,,,,,,,,,,,0,425,
1058,AMD Turion 64 Mobile ML-40,2009,,,,,,,,,,,,,,,0,522,
1059,AMD Turion 64 X2 Mobile TL-50,2009,,,,,,,,,,,,,,,18.9,576,
1060,AMD Turion 64 X2 Mobile TL-52,2009,,,,,,,,,,,,,,,0,722,
1061,AMD Turion 64 X2 Mobile TL-56,2009,,,,,,,,,,,,,,,13.9,491,
1062,AMD Turion 64 X2 Mobile TL-58,2009,,,,,,,,,,,,,,,0,477,
1063,AMD Turion 64 X2 Mobile TL-60,2009,,,,,,,,,,,,,,,15.9,527,
1064,AMD Turion Dual-Core RM-72,2009,,,,,,,,,,,,,,,39.9,499,
1065,AMD Turion X2 Ultra Dual-Core Mobile ZM-82,2009,,,,,,,,,,,,,,,0,572,
1066,AMD Turion X2 Ultra Dual-Core Mobile ZM-84,2009,,,,,,,,,,,,,,,18.9,563,
1067,AMD TurionX2 Dual Core Mobile RM-70,2009,,,,,,,,,,,,,,,0,452,
1068,AMD Athlon 1500+,2009,,,,,,,,,,,,,,,0,294,
1069,AMD Athlon 2800+,2009,,,,,,,,,,,,,,,79.99,448,
1070,AMD Athlon 64 3300+,2009,,,,,,,,,,,,,,,0,477,
1071,AMD Athlon 64 FX-57,2009,,,,,,,,,,,,,,,0,795,
1072,AMD Athlon 64 FX-74,2009,,,,,,,,,,,,,,,499.5,1495,
