,name,size,latency,readRate,writeRate,Price,RAMmark
429,G Skill Intl F4-2400C15-8GNT 8GB,8,29.83333333,16.5,11.8,183.2,697.9355124756845
430,G Skill Intl F4-2400C15-8GRK 8GB,8,40.33333333,13.2,10.5,356.9,516.9121258022707
431,G Skill Intl F4-2400C15-8GRR 8GB,8,34.57142857,15.5,11.4,142.9,602.8415581840977
432,G Skill Intl F4-2666C15-4GRR 4GB,4,34.0,15.3,11.8,98.9,612.9531183957764
433,G Skill Intl F4-2666C15-8GRR 8GB,8,26.0,14.2,11.4,360.9,799.4207178105538
434,G Skill Intl F4-2800C16-4GRK 4GB,4,31.83333333,16.3,13.4,103.2,654.8901015004287
435,G Skill Intl F4-3000C15-4GRR 4GB,4,39.25,13.1,10.5,224.1,531.0179291871777
436,G Skill Intl F4-3000C15-8GRK 8GB,8,29.0,16.3,10.9,164.9,717.5259762240998
437,Kingston HP24D4S7S8MBP-8 8GB,8,30.5,15.6,11.8,67.9,682.6603009681344
438,Kingston HP26D4S9S8ME-8 8GB,8,31.66666667,16.2,12.6,41.9,658.0594784926918
439,Kingston HP26D4S9S8MH-8 8GB,8,35.16666667,14.7,10.6,69.9,592.3742745084226
440,Kingston KMKYF9-MID 8GB,8,31.0,15.8,12.0,54.9,671.8372293423741
441,Kingston KMKYF9-MIH 8GB,8,29.0,13.5,9.4,50.0,716.6224802319999
442,Kingston M378A1K43CB2-CRC 8GB,8,24.0,13.9,6.5,50.1,864.1345876043833
443,Micron Technology 8ATF1G64HZ-2G6B1 8GB,8,25.0,15.3,12.2,79.9,831.5858519696
444,Micron Technology 16ATF1G64AZ-2G1B1 8GB,8,35.57142857,15.1,10.7,74.8,585.79329306637
445,Micron Technology 16ATF2G64HZ-2G3H1 16GB,16,42.75,12.6,7.4,89.2,487.00910642515896
446,Mushkin 99[2/7/4]183 8GB,8,27.0,15.0,11.6,68.9,770.215541415185
447,Mushkin 99[2/7/4]190F 4GB,4,26.0,14.1,10.7,49.9,799.2061220898538
448,Mushkin 99[2/7/4]191[F/T] 4GB,4,26.0,14.5,10.1,46.9,799.1055200976538
449,Mushkin 99[2/7/4]191F 4GB,4,27.0,13.9,10.9,119.8,769.8293691124851
450,Mushkin 99[2/7/4]197F 8GB,8,27.0,12.8,11.0,88.3,769.6688403097851
451,Mushkin 99[2/7/4]198F 8GB,8,26.0,12.6,8.7,229.9,798.3846484668538
452,Mushkin 99[2/7/4]199[F/T] 8GB,8,24.0,15.9,11.4,89.9,865.8598072058833
453,Mushkin 99[2/7/4]199F 8GB,8,27.0,12.7,10.5,82.9,769.5106554640851
454,Mushkin 99[2/7/4]200[F/T] 8GB,8,29.0,12.7,6.3,101.5,715.6108504038999
455,Mushkin 99[2/7/4]200F 8GB,8,26.0,13.7,10.3,86.9,799.0246697070539
456,Mushkin 99[2/7/4]204F 4GB,4,25.0,13.4,11.5,36.9,831.0624184012999
457,Mushkin 99[2/7/4]205[F/T] 8GB,8,19.0,19.3,13.8,88.9,1093.4138664207576
458,Mushkin 99[2/7/4]205F 8GB,8,26.0,13.5,11.3,229.9,799.2724087656538
459,Mushkin 99[2/7/4]209F 8GB,8,28.0,13.4,10.3,110.0,742.2754174130856
