Videocard_Name,Price1,G3D_Mark,Videocard_Value2,G2D_Mark,TDP,Power_Perf,Test_Date5,Category 
Radeon R9 Fury,$443.10*,10004,22.58,836,NA,NA,15-Jul,Unknown
GeForce GTX 1650 SUPER,$159.98 ,9936,62.11,743,100,99.36,19-Nov,Desktop
GeForce RTX 2060 with Max-Q Design,NA,9810,NA,474,65,150.93,20-Apr,Mobile
Quadro P5200 with Max-Q Design,NA,9796,NA,702,NA,NA,18-Oct,Unknown
Radeon R9 390X,NA,9674,NA,834,275,35.18,16-Apr,Desktop
Radeon R9 Fury + Fury X,$374.10*,9631,25.74,814,275,35.02,15-Jul,Desktop
GeForce GTX 1060 3GB,$235.96*,9570,40.56,720,120,79.75,16-Aug,Desktop
GeForce GTX 970,$197.44*,9541,48.32,730,145,65.8,14-Sep,Desktop
Quadro P2200,$414.99 ,9485,22.85,892,NA,NA,19-Aug,Unknown
Radeon Pro Duo,$449.00*,9436,21.02,824,350,26.96,16-Sep,Desktop
Radeon Pro W5500,$399.99 ,9436,23.59,869,125,75.49,20-Feb,Desktop
GeForce GTX 780 Ti,$225.10*,9422,41.86,635,250,37.69,13-Nov,Desktop
Quadro RTX 3000 with Max-Q Design,NA,9402,NA,538,60,156.71,19-Oct,Mobile
Radeon RX 590,$149.99*,9384,62.57,795,175,53.62,18-Nov,Desktop
Quadro P5200,NA,9186,NA,771,NA,NA,18-Jan,Mobile
Quadro M5000,$648.99*,9170,14.13,508,150,61.13,15-Nov,Workstation
Quadro P4000 with Max-Q Design,NA,9083,NA,700,80,113.53,17-Oct,Mobile
Quadro P3200 with Max-Q Design,NA,9012,NA,707,NA,NA,18-Aug,Unknown
GeForce GTX 1660 Ti with Max-Q Design,NA,8990,NA,377,60,149.84,19-May,Mobile
Radeon RX 5500 XT,$179.99 ,8977,49.87,796,130,69.05,19-Dec,Desktop
GeForce GTX Titan,$310.00*,8951,28.87,691,250,35.8,13-Feb,Desktop
GeForce GTX TITAN Black,$433.10*,8890,20.53,557,250,35.56,14-Mar,Desktop
Radeon R9 390,NA,8804,NA,788,275,32.02,16-Mar,Desktop
Radeon RX 580,$169.99 ,8724,51.32,735,185,47.16,17-Apr,Desktop
Radeon RX 480,$198.25*,8501,42.88,743,150,56.67,16-Jun,Desktop
Quadro K6000,$724.28*,8338,11.51,706,225,37.06,13-Oct,Workstation
Radeon R9 295X2,$499.10*,8218,16.46,813,500,16.44,14-May,Desktop
GeForce GTX 1060 (Mobile),NA,8203,NA,438,NA,NA,19-Apr,Mobile
Radeon RX 580 2048SP,NA,8191,NA,692,NA,NA,19-Feb,Unknown
Radeon R9 290 / 390,$179.32*,8153,45.47,695,275,29.65,13-Nov,Desktop
GeForce GTX 1060 with Max-Q Design,NA,8038,NA,427,80,100.48,17-Jun,Mobile
Radeon R9 290X / 390X,$220.10*,7998,36.34,630,290,27.58,13-Oct,Desktop
GeForce GTX 1650 Ti,NA,7970,NA,381,55,144.91,20-Mar,Mobile
Quadro M5500,NA,7915,NA,698,150,52.77,16-Mar,"Mobile, Workstation"
Radeon RX 470,$99.99*,7914,79.14,691,120,65.95,16-Aug,Desktop
GeForce GTX 780,$129.99*,7900,60.77,541,250,31.6,13-May,Desktop
Radeon Pro WX 7100,$499.99 ,7890,15.78,758,130,60.69,16-Nov,Workstation
GeForce GTX 1650,$139.99 ,7855,56.11,711,75,104.73,19-Apr,Desktop
Radeon RX 580X,NA,7798,NA,885,185,42.15,19-Feb,Desktop
Radeon Pro 580,NA,7753,NA,943,NA,NA,18-May,Unknown
FirePro W9100,"$3,593.10*",7750,2.16,884,275,28.18,14-Nov,Workstation
Radeon RX 5500,NA,7649,NA,878,150,50.99,19-Nov,Desktop
GeForce GTX TITAN Z,$919.10*,7647,8.32,696,375,20.39,14-Jun,Desktop
Tesla M6,NA,7621,NA,568,NA,NA,18-Jan,Unknown
Radeon Pro 580X,NA,7540,NA,698,150,50.27,19-Sep,Desktop
GeForce GTX 980M,$289.99*,7526,25.95,588,100,75.26,14-Oct,Mobile
Quadro P2000,$453.81*,7245,15.97,737,75,96.6,17-Mar,Workstation
Tesla P100-PCIE-16GB,NA,7225,NA,572,NA,NA,19-Jan,Unknown
GeForce GTX 1650 (Mobile),NA,6986,NA,383,50,139.73,19-May,Mobile
Radeon RX 570,$124.99 ,6967,55.74,626,150,46.45,17-Apr,Desktop
Radeon Pro 5500M,NA,6946,NA,736,NA,NA,19-Nov,Unknown
Tesla M60,"$1,395.00*",6923,4.96,661,NA,NA,17-Jun,Unknown
GeForce GTX 970XM FORCE,NA,6707,NA,725,NA,NA,18-Aug,Unknown
Quadro T2000,NA,6666,NA,426,NA,NA,19-Jul,Unknown
Radeon RX Vega M GH,NA,6632,NA,865,NA,NA,18-Mar,Unknown
Radeon HD 8990,NA,6583,NA,722,375,17.56,13-Nov,Desktop
Quadro M4000,$279.00*,6540,23.44,634,120,54.5,15-Oct,Workstation
Quadro P3000,NA,6522,NA,484,75,86.96,17-Feb,"Mobile, Workstation"
GeForce GTX 1050 Ti,$139.99 ,6446,46.05,655,75,85.95,16-Oct,Desktop
Quadro T1000,NA,6385,NA,420,NA,NA,19-Jul,Unknown
Radeon Pro 570,NA,6337,NA,697,NA,NA,19-May,Unknown
Radeon R9 380X,$445.00*,6318,14.2,672,190,33.25,15-Jul,Desktop
FirePro S7150,"$2,940.21*",6276,2.13,866,NA,NA,16-Nov,Unknown
Radeon R9 280X,NA,6267,NA,665,250,25.07,16-Apr,Desktop
Quadro M4000M,NA,6253,NA,732,100,62.53,15-Aug,"Mobile, Workstation"
FirePro W8100,"$1,112.18*",6165,5.54,738,220,28.02,14-Aug,Workstation
Quadro M5000M,$499.95*,6134,12.27,510,100,61.34,16-Jan,"Mobile, Workstation"
Radeon R9 380,$89.99*,6098,67.76,630,190,32.09,16-Mar,Desktop
Quadro P3200,NA,6084,NA,604,NA,NA,18-May,Unknown
GeForce GTX 690,$264.10*,6054,22.92,536,300,20.18,12-May,Desktop
Radeon Pro WX Vega M GL,NA,6049,NA,777,65,93.06,19-Jun,Mobile
Radeon Pro 5300M,NA,5985,NA,671,NA,NA,19-Dec,Unknown
GeForce GTX 770,$109.95*,5970,54.3,560,230,25.96,13-Jun,Desktop
GRID P100-16Q,NA,5945,NA,757,NA,NA,18-Aug,Unknown
GeForce GTX 960,$113.27*,5943,52.47,626,120,49.52,15-Jan,Desktop
GeForce GTX 1650 with Max-Q Design,NA,5927,NA,293,35,169.34,19-Jun,Mobile
GeForce GTX 1050 Ti (Mobile),NA,5919,NA,332,NA,NA,19-Apr,Mobile
Radeon Pro Vega 20,NA,5838,NA,568,NA,NA,18-Nov,Unknown
GeForce GTX 1050,$159.99 ,5719,35.75,535,75,76.25,16-Oct,Desktop
Quadro K5200,$809.46 ,5688,7.03,555,150,37.92,14-Sep,Workstation
GeForce GTX 1050 Ti with Max-Q Design,NA,5687,NA,355,NA,NA,18-Apr,Mobile
Radeon HD 7990,$990.44*,5566,5.62,766,375,14.84,13-May,Desktop
Quadro P2000 with Max-Q Design,NA,5557,NA,636,NA,NA,18-Sep,Unknown
Radeon R9 285 / 380,$449.99*,5550,12.33,655,190,29.21,15-Jan,Desktop
GRID M60-8A,NA,5523,NA,380,NA,NA,19-Dec,Unknown
FirePro W7100,$289.99*,5511,19,669,150,36.74,15-Feb,Workstation
GeForce GTX 680,$179.99*,5503,30.58,488,195,28.22,12-Aug,Desktop
Radeon RX 5500M,NA,5492,NA,444,85,64.61,20-Mar,Mobile
GeForce GTX 970M,$209.99*,5467,26.03,358,75,72.89,14-Oct,Mobile
GeForce GTX 760 Ti OEM,NA,5427,NA,694,NA,NA,19-Jul,Unknown
GeForce GTX 1650 Ti with Max-Q Design,NA,5336,NA,253,NA,NA,20-May,Unknown
FirePro W9000,"$3,443.99*",5305,1.54,647,274,19.36,12-Nov,Workstation
Radeon R9 280,NA,5303,NA,557,250,21.21,16-Apr,Desktop
GRID M60-2Q,NA,5291,NA,600,NA,NA,17-Apr,Unknown
GeForce GTX 950,$86.00*,5249,61.04,571,90,58.33,15-Aug,Desktop
Radeon HD 7970 / R9 280X,$125.99*,5248,41.65,730,250,20.99,12-Aug,Desktop
FirePro S10000,NA,5235,NA,525,NA,NA,15-Oct,Unknown
Quadro M3000M,$159.95*,5222,32.65,556,75,69.63,15-Dec,"Mobile, Workstation"
GeForce GTX 670,$149.00*,5211,34.98,453,170,30.66,12-Aug,Desktop
Radeon Pro WX 5100,$355.99 ,5178,14.55,775,75,69.05,16-Dec,Workstation
Q12U-1,NA,5164,NA,600,NA,NA,16-Dec,Unknown
Radeon R9 M295X,NA,5150,NA,832,125,41.2,14-Oct,Mobile
GeForce GTX 760 Ti,$297.50*,5119,17.21,802,170,30.11,14-Jan,Desktop
FirePro S9000,NA,5059,NA,561,NA,NA,15-May,Unknown
Radeon R9 M395,NA,4954,NA,725,125,39.64,15-Oct,Mobile
EIZO Quadro MED-XN51LP,NA,4947,NA,835,NA,NA,18-Oct,Unknown
Barco MXRT 7600,NA,4944,NA,442,NA,NA,18-Nov,Unknown
Radeon Sky 500,NA,4889,NA,639,NA,NA,19-Apr,Unknown
Radeon R9 M485X,NA,4842,NA,686,NA,NA,17-Apr,Unknown
Radeon HD 7950 / R9 280,$109.00*,4765,43.71,691,200,23.82,12-Jun,Desktop
GRID P40-24Q,NA,4728,NA,653,NA,NA,18-Oct,Unknown
Radeon R9 370,NA,4722,NA,781,150,31.48,16-Apr,Desktop
Radeon R9 270X,$149.99*,4711,31.41,569,180,26.17,13-Oct,Desktop
Radeon Pro Vega 16,NA,4683,NA,672,NA,NA,19-May,Unknown
GeForce GTX 760,$160.32*,4680,29.19,484,170,27.53,13-Jun,Desktop
Radeon HD 7870,$147.00*,4678,31.82,545,175,26.73,12-Jun,Desktop
FirePro W8000,"$1,048.99*",4674,4.46,713,189,24.73,13-Feb,Workstation
B8DKMDAP,NA,4557,NA,534,NA,NA,18-May,Unknown
Radeon Pro 465,NA,4538,NA,562,NA,NA,19-Aug,Unknown
GeForce GTX 580,$145.32*,4519,31.1,370,244,18.52,12-Aug,Desktop
Radeon HD 7870 XT,NA,4470,NA,661,185,24.16,13-May,Desktop
GRID M60-1B,NA,4457,NA,483,NA,NA,16-May,Workstation
GeForce GTX 1050 (Mobile),NA,4456,NA,293,NA,NA,19-Apr,Mobile
P104-100,$299.99*,4450,14.83,114,NA,NA,20-May,Unknown
Citrix Indirect Display Adapter,NA,4447,NA,700,NA,NA,18-Aug,Unknown
GRID P6-4Q,NA,4429,NA,586,NA,NA,18-Mar,Unknown
FirePro W7000,$146.02*,4395,30.1,572,150,29.3,12-Oct,Workstation
GeForce GTX 660 Ti,$486.68*,4359,8.96,434,150,29.06,12-Aug,Desktop
Radeon R9 M390X,NA,4357,NA,704,100,43.57,16-Jan,Mobile
Radeon R9 M395X,NA,4330,NA,787,125,34.64,15-Oct,Mobile
Barco MXRT 7500,NA,4319,NA,762,NA,NA,15-Nov,Unknown
Radeon R7 370,NA,4291,NA,516,150,28.61,16-Apr,Desktop
GRID P40-2Q,NA,4288,NA,633,NA,NA,18-Dec,Unknown
GRID T4-8Q,NA,4284,NA,89,NA,NA,20-Mar,Unknown
GeForce GTX 680MX,NA,4271,NA,730,122,35.01,13-Jan,Mobile
Radeon R9 270 / R7 370,$164.47*,4260,25.9,645,150,28.4,13-Dec,Desktop
GRID M60-1Q,NA,4251,NA,211,NA,NA,17-May,Unknown
GeForce GTX 775M,NA,4222,NA,808,NA,NA,13-Nov,Unknown
Radeon R9 270,NA,4213,NA,653,NA,NA,18-Nov,Unknown
Quadro K4200,$239.99*,4212,17.55,478,105,40.11,14-Sep,Workstation
FirePro S7000,NA,4166,NA,615,150,27.77,14-Feb,Workstation
GRID V100D-8Q,NA,4156,NA,518,NA,NA,19-Aug,Unknown
GeForce GTX 1060 5GB,NA,4141,NA,571,NA,NA,18-Apr,Desktop
Quadro P1000,$300.99 ,4129,13.72,537,47,87.86,17-Apr,Workstation
Quadro 7000,NA,4107,NA,380,204,20.13,11-Nov,Workstation
FirePro W7000 Adapter,NA,4106,NA,600,NA,NA,13-Sep,Unknown
Radeon RX 460,$274.10*,4074,14.86,538,75,54.32,16-Aug,Desktop
Radeon HD 7970M,NA,4036,NA,612,75,53.81,12-Jun,Mobile
GeForce GTX 965M,NA,4035,NA,371,60,67.26,15-Jan,Mobile
Quadro M2000,$298.99*,4035,13.5,561,75,53.81,16-May,Workstation
Radeon HD 7800-serie,NA,4029,NA,708,NA,NA,14-Oct,Unknown
GeForce GTX 780M,$189.99*,4008,21.1,423,122,32.86,13-Jun,Mobile
GRID P6-2Q,NA,4001,NA,590,NA,NA,18-Sep,Unknown
Quadro K5000,$384.98*,3978,10.33,426,122,32.6,12-Nov,Workstation
Quadro M2200,$249.99*,3965,15.86,355,55,72.09,17-Apr,"Mobile, Workstation"
GeForce GTX 660,$124.97*,3948,31.59,428,140,28.2,12-Sep,Desktop
GRID M60-8Q,NA,3884,NA,618,NA,NA,17-Mar,Unknown
Radeon HD 8970M,$139.99*,3876,27.69,807,100,38.76,14-Apr,Mobile
GeForce GTX 750 Ti,$155.32*,3845,24.76,457,60,64.09,14-Feb,Desktop
GeForce GTX 570,$298.68*,3842,12.86,439,219,17.54,12-Aug,Desktop
GRID P100-8Q,NA,3841,NA,481,NA,NA,20-Jan,Unknown
GRID M60-4Q,NA,3831,NA,278,NA,NA,16-Apr,Workstation
P106-100,NA,3802,NA,735,NA,NA,19-Feb,Unknown
Quadro K2200M,$124.95*,3791,30.34,483,NA,NA,15-Apr,Unknown
Radeon Pro WX 4100,$249.99 ,3786,15.14,591,50,75.71,17-Mar,Desktop
Radeon HD 7850,$75.00*,3763,50.17,520,130,28.95,12-May,Desktop
GeForce GTX 480,$579.00*,3736,6.45,418,250,14.94,12-Aug,Desktop
Quadro P620,$150.93 ,3712,24.59,657,40,92.79,18-Jun,Workstation
Radeon Pro 560X,NA,3678,NA,711,NA,NA,18-Dec,Unknown
GeForce GTX 1050 with Max-Q Design,NA,3662,NA,273,NA,NA,18-Aug,Mobile
Quadro M1200,NA,3617,NA,358,45,80.38,17-Jan,"Mobile, Workstation"
Radeon RX 560,$109.99 ,3589,32.63,496,80,44.86,17-Mar,Desktop
GeForce GTX 680M KY_Bullet Edition,NA,3569,NA,581,NA,NA,17-Oct,Unknown
GRID M6-8Q,NA,3568,NA,556,NA,NA,17-Dec,Unknown
Radeon R9 M470X,NA,3563,NA,696,75,47.51,16-Sep,Mobile
GeForce GTX 590,$184.00*,3562,19.36,572,365,9.76,11-Mar,Desktop
Quadro K2200,$123.18*,3556,28.87,513,68,52.29,14-Sep,Workstation
GeForce GTX 960M,"$1,169.00*",3529,3.02,239,65,54.3,15-Apr,Mobile
Radeon RX 560X,NA,3520,NA,524,75,46.94,18-Aug,Desktop
Tesla C2050,$269.99*,3515,13.02,493,NA,NA,10-Sep,Unknown
FirePro M6100 FireGL V,NA,3487,NA,711,NA,NA,17-Mar,Unknown
Radeon Pro 560,NA,3475,NA,724,NA,NA,17-Sep,Unknown
Quadro M2000M,$279.95*,3472,12.4,331,55,63.13,15-Nov,"Mobile, Workstation"
FirePro W7170M,NA,3461,NA,517,NA,NA,16-Feb,Unknown
Radeon Pro 460,NA,3453,NA,679,NA,NA,17-May,Unknown
Radeon RX Vega M GL,NA,3451,NA,583,NA,NA,18-Feb,Unknown
Tesla C2050 / C2070,NA,3428,NA,568,238,14.4,13-May,Workstation
Radeon HD8970M,NA,3369,NA,663,NA,NA,14-Dec,Unknown
Radeon E8870PCIe,NA,3368,NA,708,NA,NA,17-Oct,Unknown
Tesla C2075,$340.50*,3364,9.88,537,NA,NA,12-Jan,Unknown
GRID P40-2B,NA,3354,NA,633,NA,NA,18-Jun,Unknown
GRID M10-1Q,NA,3351,NA,556,NA,NA,17-Aug,Unknown
GRID K520,$749.95*,3344,4.46,204,NA,NA,13-Nov,Workstation
GeForce GTX 750,$129.99*,3321,25.55,418,55,60.38,14-Feb,Desktop
GeForce GTX 680M,$135.99*,3304,24.3,429,100,33.04,12-Jul,Mobile
GeForce GTX 860M,NA,3301,NA,236,45,73.36,14-Apr,Mobile
GeForce GTX 870M,NA,3293,NA,356,110,29.94,14-Mar,Mobile
Tesla C2070,NA,3275,NA,554,247,13.26,11-Feb,Workstation
Tesla M10,"$3,202.21*",3248,1.01,541,NA,NA,19-May,Unknown
GeForce 770M,$176.99*,3246,18.34,500,NA,NA,16-Jun,Unknown
GRID M10-4Q,NA,3224,NA,486,NA,NA,18-Aug,Unknown
Quadro P600,$241.04*,3192,13.24,532,40,79.79,17-Apr,Workstation
GRID K2,$289.99*,3176,10.95,413,NA,NA,13-Aug,Workstation
RadeonT RX 5500M,NA,3166,NA,336,NA,NA,19-Nov,Unknown
FirePro V7000,NA,3162,NA,668,NA,NA,13-Oct,Unknown
Radeon Pro 555,NA,3141,NA,659,NA,NA,17-Jun,Unknown
GeForce GTX 470,$522.01*,3139,6.01,367,215,14.6,12-Aug,Desktop
GeForce GTX 650 Ti BOOST,NA,3135,NA,436,134,23.39,13-Apr,Desktop
Quadro 6000,"$3,899.99 ",3128,0.8,515,204,15.33,10-Oct,Workstation
Radeon Pro 455,$449.00*,3113,6.93,705,NA,NA,18-Dec,Unknown
Radeon HD 7790,$180.32*,3095,17.16,473,85,36.41,13-Apr,Desktop
Radeon R9 M380,NA,3051,NA,686,NA,NA,15-Oct,Mobile
Radeon R9 360,$519.00*,3032,5.84,460,85,35.67,15-Oct,Desktop
GeForce GTX 880M,NA,3031,NA,404,130,23.32,14-Mar,Mobile
GeForce MX350,NA,3028,NA,278,NA,NA,20-Mar,Unknown
Radeon R7 260X,$132.28*,3021,22.83,494,115,26.27,13-Oct,Desktop
Radeon R9 260,NA,3018,NA,643,NA,NA,16-May,Unknown
Radeon HD 8950,NA,2990,NA,612,225,13.29,14-Aug,Desktop
Radeon R7 360,$125.00*,2989,23.91,448,100,29.89,15-Jun,Desktop
Radeon Pro WX 4130,NA,2984,NA,688,50,59.69,17-Aug,Mobile
GeForce GTX 560 Ti,$81.60*,2981,36.53,366,170,17.53,12-Aug,Desktop
FirePro W5000,$169.89*,2949,17.36,555,75,39.32,12-Oct,Workstation
GeForce GTX 465,$263.28*,2946,11.19,582,200,14.73,12-Aug,Desktop
Radeon HD 6970,$59.99*,2942,49.04,396,250,11.77,12-Aug,Desktop
GRID K260Q,NA,2941,NA,644,NA,NA,15-Feb,Workstation
Quadro K5100M,$285.99*,2934,10.26,534,100,29.34,14-Jan,Workstation
Radeon HD 6990,$159.99*,2933,18.33,563,375,7.82,11-Mar,Desktop
GeForce MX330,NA,2922,NA,258,NA,NA,20-Apr,Unknown
Quadro M620,NA,2914,NA,569,30,97.13,17-Jan,"Mobile, Workstation"
FirePro W4300,$239.99*,2909,12.12,785,50,58.18,16-Feb,Workstation
Radeon Pro WX 3100,NA,2897,NA,547,50,57.94,17-Jul,Workstation
Radeon R7 260,$89.99*,2892,32.13,559,95,30.44,14-Jul,Desktop
Quadro K1200,$190.89*,2860,14.98,601,45,63.55,15-Apr,Workstation
Radeon Pro V340 MxGPU,NA,2853,NA,118,NA,NA,18-Nov,Unknown
Quadro M1000M,$85.99*,2852,33.17,324,40,71.3,15-Nov,"Mobile, Workstation"
Radeon R9 M290X,NA,2832,NA,382,100,28.32,14-Jul,Mobile
FirePro 3D V9800,"$2,499.00*",2812,1.13,556,225,12.5,11-May,Workstation
GeForce GTX 560,$95.95*,2756,28.73,375,150,18.37,12-Aug,Desktop
FirePro V7900,$144.04*,2749,19.09,651,150,18.33,11-Sep,Workstation
Radeon HD 6950,$148.32*,2746,18.52,357,200,13.73,12-Aug,Desktop
FirePro V9800,NA,2727,NA,655,NA,NA,16-Jan,Unknown
Radeon Pro 450,NA,2723,NA,619,NA,NA,17-Feb,Unknown
Quadro K4100M,$198.02*,2719,13.73,397,100,27.19,13-Dec,Workstation
FirePro W5100,$279.13*,2717,9.74,421,75,36.23,14-Nov,Workstation
Barco MXRT 5500,NA,2702,NA,510,NA,NA,18-Jun,Unknown
Quadro K4000,$175.99*,2683,15.24,422,80,33.53,12-Nov,Workstation
GeForce GTX 675MX,NA,2675,NA,455,100,26.75,13-Jan,Mobile
GeForce GTX 850M,NA,2666,NA,215,40,66.65,14-May,Mobile
GeForce GTX 770M,$138.00*,2663,19.3,286,75,35.5,13-Jun,Mobile
GRID M10-2Q,NA,2654,NA,75,NA,NA,20-Apr,Unknown
FirePro R5000,$109.99*,2647,24.06,625,NA,NA,16-Mar,Unknown
MONSTER GeForce GTX 675M,NA,2637,NA,686,NA,NA,13-Apr,Unknown
GeForce GT 1030,$79.99 ,2617,32.71,436,30,87.23,17-May,Desktop
GRID M10-8Q,NA,2606,NA,557,NA,NA,18-May,Unknown
GeForce GTX 950M,$567.00*,2603,4.59,223,75,34.71,15-Mar,Mobile
Radeon Pro WX 3200,$189.99*,2592,13.64,499,65,39.87,19-Nov,Mobile
GeForce MX250,NA,2586,NA,258,NA,NA,19-Apr,Unknown
Quadro K5000M,$389.25*,2572,6.61,647,100,25.72,12-Aug,Workstation
Radeon HD 6850 X2,NA,2534,NA,373,NA,NA,17-Feb,Unknown
FireStream 9370,NA,2528,NA,763,225,11.24,12-Feb,Workstation
N18E-Q1,NA,2525,NA,547,NA,NA,18-Apr,Unknown
