Name,LatencyNS,Read_Uncached_GBs,Write_GBs,Price
A Force Manufacturing Ltd. UD-01G64V2133P 8GB,22,17.9,13,NA
A-DATA Technology 11137401 8GB,40,15.1,7.3,NA
A-DATA Technology AD4U240038G17-BHYA 8GB,23,14.4,9,NA
A-DATA Technology AE4S240038G17-BHYA 8GB,25,15.3,11.7,NA
A-DATA Technology AM1P24HC4R1-BUNS 4GB,28,14.8,9.5,NA
A-DATA Technology AM2P24HC4R1-BUPS 4GB,28,14.5,7.1,NA
A-DATA Technology AM2P24HC8T1-BBFS 8GB,29,16.7,12.2,NA
A-DATA Technology AM2P24HC8T1-BUSS 8GB,28.66666667,14.9,8.6,NA
A-DATA Technology AO1P21FC8T1-BSKS 8GB,27,13.4,8.1,NA
A-DATA Technology AO1P24HC4N2-BWCS 4GB,126,12.9,6.5,NA
A-DATA Technology AO1P24HC4R1-BSIS 4GB,26,15,9.2,NA
A-DATA Technology AO1P24HC4R1-BUYS 4GB,24,15.1,11.8,NA
A-DATA Technology AO1P24HC8T1-BPGS 8GB,74,12.9,5.9,NA
A-DATA Technology AO1P24HC8T1-BQXS 8GB,40,12.3,8.8,NA
A-DATA Technology AO1P24HC8T1-BSFS 8GB,32.66666667,14.5,9.1,NA
A-DATA Technology AO1P24HCST2-BSCS 16GB,28,17,13.6,NA
A-DATA Technology AO1P26KC8T1-BPXS 8GB,106,13.1,5.6,NA
A-DATA Technology AO1P26KC8T1-BXFSHC 8GB,28,17.1,12.5,NA
A-DATA Technology AO1P26KC8T1-BXPS 8GB,85,12,5.4,NA
A-DATA Technology AO1P29KC8T1-BY9SSB 8GB,27,18.4,14.9,NA
A-DATA Technology AO1P32MC8T1-BW3S 8GB,21,18.8,15,NA
A-DATA Technology AO1P32MCST2-BW4S 16GB,22,18.4,17,NA
A-DATA Technology AO2P21FC4R1-BRFS 4GB,26,15.2,10.8,NA
A-DATA Technology AO2P21FC8R2-BRGS 8GB,23,17.8,13.2,NA
A-DATA Technology AO2P24HC8T1-BTBS 8GB,28,16,10.4,NA
A-DATA Technology AO2P24HCST2-BTCS 16GB,79,14.5,8.6,NA
A-DATA Technology AO2P24HCST2-BTVS 16GB,23,17.9,13.5,NA
A-DATA Technology AO2P24HCST2-BW8S 16GB,81,14,7,NA
A-DATA Technology AO2P26KC8T1-BPYS 8GB,24,15.1,8.9,NA
A-DATA Technology AO2P26KC8T1-BXGSHC 8GB,30,17.1,12.2,NA
A-DATA Technology AX4S2800316G18-B 16GB,25,15.4,10.9,NA
A-DATA Technology DDR4 2133 2OZ 8GB,36,13.5,10.3,NA
A-DATA Technology DDR4 2400 2OZ 8GB,31.68,16.4,12.3,NA
A-DATA Technology DDR4 2400 16GB,23,16.7,11.3,NA
A-DATA Technology DDR4 2666 2OZ 4GB,29.46153846,17.3,12.2,NA
A-DATA Technology DDR4 2666 8GB,21,17.7,12.3,NA
A-DATA Technology DDR4 2800 2OZ 4GB,35.91666667,15.1,11.6,NA
A-DATA Technology DDR4 2800 8GB,21,19.1,15.1,NA
A-DATA Technology DDR4 3000 2OZ 8GB,31.59090909,17.3,13.4,NA
A-DATA Technology DDR4 3000 8GB,28.78787879,18.2,14.3,$389.99*
A-DATA Technology DDR4 3200 2OZ 4GB,28.57142857,17.9,13.6,NA
A-DATA Technology DDR4 3200 8GB,26.58823529,19.1,15,NA
A-DATA Technology DDR4 3300 2OZ 4GB,17,22,17,NA
A-DATA Technology DDR4 3333 2OZ 4GB,24,15.7,12.3,NA
A-DATA Technology DDR4 3600 2OZ 8GB,21,17.8,14.1,NA
A-DATA Technology DDR4 3600 8GB,23.75,19.6,16.6,NA
A-DATA Technology DDR4 4133 2OZ 8GB,23,18.5,14.4,NA
A-DATA Technology DDR4 4133 8GB,39,14.8,11.8,NA
ACPI Digital Co. Ltd. CMA6-4FA01AAR01A00 4GB,24,11.9,6.3,NA
ADVAN Inc AM42E28UD04T-NVL 4GB,23,18.2,14.4,NA
Memory Name,Latency (ns),Read Uncached (GB/s),Write (GB/s),Price(USD)
AMD R7S44G2606U1S 4GB,20,18.9,14.3,NA
AMD R7S48G2400U2S 8GB,74,14.2,8,NA
AMD R9S48G3206U2S 8GB,60,16.2,8.1,NA
AMD R744G2133U1S 4GB,29,13.8,8.8,NA
AMD R744G2400U1S 4GB,22,16.7,11.6,NA
AMD R744G2400U1S-UO 4GB,66,16.7,8.5,NA
AMD R744G2606U1S 4GB,76,15.7,8.7,NA
AMD R748G2133U2S 8GB,23,15.9,11.4,NA
AMD R748G2133U2S-UO 8GB,25,15,12,NA
AMD R748G2400S2S 8GB,135,15.2,8.2,NA
AMD R748G2400U2S 8GB,23,16.4,11.2,NA
AMD R748G2400U2S-UO 8GB,21,18.2,13.7,NA
AMD R748G2606U2S 8GB,61,15,8.9,NA
AMD R948G2806U2S 8GB,25,14.7,10.2,NA
AMD R948G3206U2S 8GB,40,14.4,10.6,NA
