ACPI SSD2F-M SSD 64GB,59.6 GB,"2,394",1,3768,NA,NA,19-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ACPI+SSD2F-M+SSD+64GB&id=22587#price
ADATA IM2S3338-128GD2,119.2 GB,"4,528",18,946,NA,NA,19-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+IM2S3338-128GD2&id=24477#price
ADATA Permeir SP800 32GB,29.8 GB,"1,119",10,4850,NA,NA,13-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permeir+SP800+32GB&id=4090#price
ADATA Permeir SP800 64GB,59.6 GB,"1,723",30,4333,NA,NA,13-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permeir+SP800+64GB&id=4194#price
ADATA Permier SP550 120GB,111.8 GB,"3,716",21,1808,NA,NA,15-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permier+SP550+120GB&id=10423#price
ADATA Permier SP550 240GB,223.6 GB,"3,791",35,1692,NA,NA,15-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permier+SP550+240GB&id=20047#price
ADATA Permier SP550 480GB,447.1 GB,"4,185",8,1203,$105.00*,39.86,15-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permier+SP550+480GB&id=10320#price
ADATA Permier SP550 960GB,894.3 GB,"3,633",53,1920,NA,NA,16-Mar,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permier+SP550+960GB&id=20422#price
ADATA Permier SP550 M.2 120GB,111.8 GB,"3,758",53,1740,NA,NA,16-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permier+SP550+M.2+120GB&id=20804#price
ADATA Permier SP550 M.2 240GB,223.6 GB,"4,107",4,1287,NA,NA,16-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permier+SP550+M.2+240GB&id=12563#price
ADATA Permier SP550 M.2 480GB,447.1 GB,"4,171",15,1224,NA,NA,17-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permier+SP550+M.2+480GB&id=21133#price
ADATA Permier SP600 32GB,29.8 GB,979,100,5006,$114.16*,8.58,13-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Permier+SP600+32GB&id=3981#price
ADATA Premier Pro SP300 32GB,29.8 GB,"1,469",1,4520,NA,NA,13-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP300+32GB&id=3641#price
ADATA Premier Pro SP900 128GB,119.2 GB,"2,583",25,3544,$70.47*,36.65,12-May,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP900+128GB&id=168#price
ADATA Premier Pro SP900 256GB,238.5 GB,"3,793",21,1689,$87.14*,43.53,13-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP900+256GB&id=3397#price
ADATA Premier Pro SP900 512GB,476.9 GB,"3,180",78,2673,NA,NA,14-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP900+512GB&id=19380#price
ADATA Premier Pro SP900 64GB,59.6 GB,"2,356",6,3813,NA,NA,17-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP900+64GB&id=13575#price
ADATA Premier Pro SP900 M.2 2242 128GB,119.2 GB,"2,731",36,3343,NA,NA,14-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP900+M.2+2242+128GB&id=8240#price
ADATA Premier Pro SP900 M.2 2242 256GB,238.5 GB,"3,075",13,2830,NA,NA,15-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP900+M.2+2242+256GB&id=11093#price
ADATA Premier Pro SP900 M.2 2280 256GB,238.5 GB,"3,698",77,1834,NA,NA,16-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP900+M.2+2280+256GB&id=11281#price
ADATA Premier Pro SP900 M.2 2280 512GB,476.9 GB,"3,648",17,1905,NA,NA,15-Jul,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+Pro+SP900+M.2+2280+512GB&id=19844#price
ADATA Premier SP600 128GB,119.2 GB,"2,103",13,4063,$62.65*,33.56,13-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+SP600+128GB&id=3313#price
ADATA Premier SP600 256GB,238.5 GB,"2,791",8,3273,$221.00 ,12.63,14-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+SP600+256GB&id=18890#price
ADATA Premier SP600 512GB,476.9 GB,"3,166",13,2692,NA,NA,16-Jun,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+SP600+512GB&id=20618#price
ADATA Premier SP600 M.2 256GB,238.5 GB,"2,889",28,3130,NA,NA,15-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+Premier+SP600+M.2+256GB&id=10255#price
ADATA S396 30GB,29.8 GB,"1,174",22,4787,$64.53*,18.19,12-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S396+30GB&id=201#price
ADATA S510 120GB,111.8 GB,"2,359",10,3809,$153.55*,15.36,11-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S510+120GB&id=409#price
ADATA S511 120GB,111.8 GB,"2,917",170,3084,$133.67*,21.82,11-Jul,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S511+120GB&id=747#price
ADATA S511 240GB,223.6 GB,"3,625",23,1931,$268.41*,13.51,12-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S511+240GB&id=2191#price
ADATA S596 Turbo,29.8 GB,956,7,5041,$250.00*,3.82,10-Sep,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S596+Turbo&id=109#price
ADATA S596 Turbo,59.6 GB,959,22,5034,NA,NA,12-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S596+Turbo&id=17128#price
ADATA S599 115GB,107.1 GB,"1,764",1,4304,NA,NA,13-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S599+115GB&id=3764#price
ADATA S599 128GB,111.8 GB,"1,663",41,4375,NA,NA,10-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S599+128GB&id=1033#price
ADATA S599 256GB,223.6 GB,"1,901",2,4200,NA,NA,12-Oct,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S599+256GB&id=981#price
ADATA S599 40GB,37.3 GB,"1,285",3,4673,NA,NA,11-Feb,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S599+40GB&id=1034#price
ADATA S599 55GB,51.2 GB,939,3,5075,NA,NA,12-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S599+55GB&id=181#price
ADATA S599 64GB,55.9 GB,"1,479",58,4510,NA,NA,10-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+S599+64GB&id=1035#price
ADATA SP 900,59.6 GB,"2,334",58,3836,NA,NA,12-Dec,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP+900&id=17454#price
ADATA SP 900,238.5 GB,"3,177",72,2676,NA,NA,13-Jan,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP+900&id=17845#price
ADATA SP 900NS38,238.5 GB,"3,856",5,1598,NA,NA,15-Nov,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP+900NS38&id=20109#price
ADATA SP 920SS,238.5 GB,"3,289",7,2501,NA,NA,15-Aug,SSD,https://www.harddrivebenchmark.net/hdd.php?hdd=ADATA+SP+920SS&id=19903#price
